 min,protein code,molecular feature z score neg,,max,protein code,molecular feature z score pos,File number
min,YAL051W_idr_7,-2.099322913,,max,YAL051W_idr_7,4.035641823,
min,YAL053W_idr_6,-2.761833107,,max,YAL053W_idr_6,2.443612843,
min,YAL054C_idr_1,-3.15211213,,max,YAL054C_idr_1,3.852815655,
min,YAL056W_idr_11,-5.868592386,,max,YAL056W_idr_11,3.942458892,
min,YAL058W_idr_2,-4.312976198,,max,YAL058W_idr_2,1.996242679,
min,YAL059W_idr_3,-6.431716654,,max,YAL059W_idr_3,2.680157731,
min,YAR002W_idr_2,-6.26965943,,max,YAR002W_idr_2,3.369666787,
min,YAR002W_idr_4,-6.968483107,,max,YAR002W_idr_4,6.785875168,
min,YAR007C_idr_2,-5.094634566,,max,YAR007C_idr_2,9.308533733,
min,YAR014C_idr_11,-2.813950616,,max,YAR014C_idr_11,2.775161355,
min,YAR014C_idr_20,-5.004017724,,max,YAR014C_idr_20,3.708045669,
min,YAR014C_idr_3,-2.814087269,,max,YAR014C_idr_3,3.805875588,
min,YAR014C_idr_4,-7.345773113,,max,YAR014C_idr_4,3.32942895,
min,YAR014C_idr_7,-4.802868084,,max,YAR014C_idr_7,6.736977642,
min,YAR014C_idr_9,-2.031636458,,max,YAR014C_idr_9,3.51276525,
min,YAR018C_idr_3,-9.717792063,,max,YAR018C_idr_3,3.627243127,
min,YAR019C_idr_2,-3.02741503,,max,YAR019C_idr_2,5.056685666,
min,YAR019C_idr_3,-3.457108998,,max,YAR019C_idr_3,3.504897721,
min,YAR019C_idr_6,-2.206334615,,max,YAR019C_idr_6,2.201903671,
min,YAR042W_idr_13,-2.431789504,,max,YAR042W_idr_13,4.403617817,
min,YAR042W_idr_14,-5.713356314,,max,YAR042W_idr_14,4.971017104,
min,YAR042W_idr_15,-2.329925314,,max,YAR042W_idr_15,4.176205293,
min,YAR042W_idr_5,-1.534222742,,max,YAR042W_idr_5,11.14960691,
min,YBL002W_idr_1,-5.470275302,,max,YBL002W_idr_1,1.729266263,
min,YBL004W_idr_27,-19.32149715,,max,YBL004W_idr_27,1.552831646,
min,YBL004W_idr_32,-14.52877002,,max,YBL004W_idr_32,2.133813608,
min,YBL004W_idr_38,-13.43448628,,max,YBL004W_idr_38,4.0733475,
min,YBL005W_idr_2,-5.355558274,,max,YBL005W_idr_2,4.376697339,
min,YBL005W_idr_7,-2.735952561,,max,YBL005W_idr_7,4.296401352,
min,YBL007C_idr_13,-5.565031828,,max,YBL007C_idr_13,1.632995602,
min,YBL007C_idr_4,-9.42868936,,max,YBL007C_idr_4,2.228169892,
min,YBL007C_idr_5,-9.597479888,,max,YBL007C_idr_5,3.643735144,
min,YBL007C_idr_7,-6.456029383,,max,YBL007C_idr_7,5.172623938,
min,YBL008W_idr_1,-13.50530861,,max,YBL008W_idr_1,3.280568036,
min,YBL008W_idr_4,-9.183322444,,max,YBL008W_idr_4,1.772398311,
min,YBL009W_idr_2,-4.661683874,,max,YBL009W_idr_2,5.049487968,
min,YBL010C_idr_1,-2.442326131,,max,YBL010C_idr_1,5.361068071,
min,YBL011W_idr_2,-9.356991886,,max,YBL011W_idr_2,2.097192756,
min,YBL011W_idr_3,-3.790552707,,max,YBL011W_idr_3,3.028596982,
min,YBL014C_idr_10,-7.69835081,,max,YBL014C_idr_10,2.882044936,
min,YBL014C_idr_2,-7.190637869,,max,YBL014C_idr_2,1.520004908,
min,YBL014C_idr_5,-7.092245163,,max,YBL014C_idr_5,2.996062836,
min,YBL017C_idr_4,-4.692859715,,max,YBL017C_idr_4,3.641992566,
min,YBL019W_idr_5,-20.37279032,,max,YBL019W_idr_5,2.53371442,
min,YBL020W_idr_1,-2.919468562,,max,YBL020W_idr_1,3.311785234,104-203
min,YBL021C_idr_1,-4.529708061,,max,YBL021C_idr_1,3.790737514,
min,YBL022C_idr_1,-3.338810012,,max,YBL022C_idr_1,5.908864258,
min,YBL022C_idr_3,-5.23683403,,max,YBL022C_idr_3,3.02838729,
min,YBL023C_idr_1,-3.932915297,,max,YBL023C_idr_1,2.616365451,
min,YBL023C_idr_3,-7.594216767,,max,YBL023C_idr_3,1.975055836,
min,YBL023C_idr_8,-17.19401761,,max,YBL023C_idr_8,2.06693958,
min,YBL024W_idr_2,-5.24421391,,max,YBL024W_idr_2,2.220851723,
min,YBL029W_idr_3,-3.052286786,,max,YBL029W_idr_3,5.907063346,
min,YBL031W_idr_8,-6.655134776,,max,YBL031W_idr_8,3.211876876,
min,YBL031W_idr_9,-7.483456696,,max,YBL031W_idr_9,4.574763084,
min,YBL032W_idr_1,-15.71581102,,max,YBL032W_idr_1,4.322257919,
min,YBL032W_idr_2,-6.221735064,,max,YBL032W_idr_2,2.808564565,
min,YBL032W_idr_3,-3.086195241,,max,YBL032W_idr_3,2.655580799,
min,YBL034C_idr_10,-2.362203069,,max,YBL034C_idr_10,4.05834205,
min,YBL034C_idr_14,-3.687929031,,max,YBL034C_idr_14,6.889848881,
min,YBL034C_idr_5,-10.72555321,,max,YBL034C_idr_5,4.080993976,
min,YBL035C_idr_2,-16.23815346,,max,YBL035C_idr_2,2.795819668,
min,YBL037W_idr_4,-2.696147168,,max,YBL037W_idr_4,2.617226122,
min,YBL042C_idr_1,-6.977317988,,max,YBL042C_idr_1,8.055437152,
min,YBL046W_idr_5,-5.231828587,,max,YBL046W_idr_5,5.369746798,
min,YBL047C_idr_11,-6.170599243,,max,YBL047C_idr_11,6.92353146,
min,YBL047C_idr_12,-3.513115644,,max,YBL047C_idr_12,4.166796986,
min,YBL047C_idr_13,-4.53573914,,max,YBL047C_idr_13,4.367551589,
min,YBL047C_idr_2,-6.178180521,,max,YBL047C_idr_2,4.34017109,
min,YBL047C_idr_20,-4.242474426,,max,YBL047C_idr_20,2.301217863,
min,YBL047C_idr_8,-3.792663884,,max,YBL047C_idr_8,2.351984598,
min,YBL051C_idr_1,-4.843566856,,max,YBL051C_idr_1,2.70781659,
min,YBL051C_idr_2,-7.869690271,,max,YBL051C_idr_2,10.62528275,
min,YBL051C_idr_4,-7.63953695,,max,YBL051C_idr_4,6.48025099,
min,YBL051C_idr_8,-4.04399351,,max,YBL051C_idr_8,2.41648149,
min,YBL052C_idr_2,-4.54950272,,max,YBL052C_idr_2,4.634729236,
min,YBL052C_idr_4,-3.122699474,,max,YBL052C_idr_4,2.884475804,
min,YBL052C_idr_9,-5.618402569,,max,YBL052C_idr_9,6.530242981,
min,YBL054W_idr_1,-1.738651831,,max,YBL054W_idr_1,5.178154722,
min,YBL054W_idr_2,-5.487541412,,max,YBL054W_idr_2,7.709505217,
min,YBL056W_idr_2,-8.75460947,,max,YBL056W_idr_2,3.265132183,
min,YBL057C_idr_2,-2.106896305,,max,YBL057C_idr_2,5.593597918,
min,YBL058W_idr_2,-3.503252437,,max,YBL058W_idr_2,2.923575934,
min,YBL058W_idr_7,-12.67735844,,max,YBL058W_idr_7,3.790052725,
min,YBL060W_idr_1,-8.038039449,,max,YBL060W_idr_1,3.547097461,
min,YBL060W_idr_5,-3.91567613,,max,YBL060W_idr_5,2.94650543,
min,YBL060W_idr_9,-8.147338309,,max,YBL060W_idr_9,2.743624503,
min,YBL061C_idr_2,-2.90306424,,max,YBL061C_idr_2,3.716214709,
min,YBL063W_idr_1,-2.897330527,,max,YBL063W_idr_1,3.551660579,
min,YBL063W_idr_2,-2.803605122,,max,YBL063W_idr_2,1.943124311,
min,YBL063W_idr_36,-10.23298257,,max,YBL063W_idr_36,1.834135169,
min,YBL063W_idr_38,-4.080476998,,max,YBL063W_idr_38,2.252058412,
min,YBL063W_idr_4,-14.73677598,,max,YBL063W_idr_4,3.553846501,
min,YBL063W_idr_7,-5.624862917,,max,YBL063W_idr_7,1.476107023,
min,YBL064C_idr_1,-6.18169479,,max,YBL064C_idr_1,2.064636626,
min,YBL066C_idr_1,-2.610979961,,max,YBL066C_idr_1,5.302766092,
min,YBL066C_idr_4,-3.106049751,,max,YBL066C_idr_4,3.737293591,
min,YBL066C_idr_9,-7.65671291,,max,YBL066C_idr_9,7.861112332,
min,YBL067C_idr_13,-4.469511861,,max,YBL067C_idr_13,5.13309066,
min,YBL067C_idr_2,-1.518025732,,max,YBL067C_idr_2,4.727146894,
min,YBL067C_idr_6,-2.317343822,,max,YBL067C_idr_6,3.503554711,
min,YBL069W_idr_1,-3.276211158,,max,YBL069W_idr_1,2.961572176,
min,YBL075C_idr_2,-7.508624696,,max,YBL075C_idr_2,2.674565748,
min,YBL079W_idr_1,-6.150984749,,max,YBL079W_idr_1,3.940411749,
min,YBL079W_idr_14,-4.206710811,,max,YBL079W_idr_14,1.187179905,
min,YBL079W_idr_2,-8.337482418,,max,YBL079W_idr_2,2.826340998,
min,YBL079W_idr_3,-4.680911541,,max,YBL079W_idr_3,3.659706779,
min,YBL081W_idr_2,-6.107934371,,max,YBL081W_idr_2,8.751692841,
min,YBL081W_idr_3,-5.248177463,,max,YBL081W_idr_3,4.681319988,
min,YBL081W_idr_4,-8.592711246,,max,YBL081W_idr_4,8.614696158,
min,YBL084C_idr_3,-7.227763388,,max,YBL084C_idr_3,6.161270347,
min,YBL085W_idr_3,-1.471191621,,max,YBL085W_idr_3,4.817962267,
min,YBL085W_idr_4,-2.767926836,,max,YBL085W_idr_4,7.549169425,
min,YBL085W_idr_6,-11.95801341,,max,YBL085W_idr_6,7.322619355,
min,YBL086C_idr_3,-8.741110709,,max,YBL086C_idr_3,3.307374403,
min,YBL086C_idr_4,-3.891805386,,max,YBL086C_idr_4,4.232822954,
min,YBL086C_idr_5,-3.038098279,,max,YBL086C_idr_5,3.726961612,
min,YBL088C_idr_14,-11.77835222,,max,YBL088C_idr_14,1.660943515,
min,YBL088C_idr_21,-2.318607221,,max,YBL088C_idr_21,4.22848176,
min,YBL088C_idr_22,-3.211128993,,max,YBL088C_idr_22,2.820517663,
min,YBL088C_idr_25,-8.686597785,,max,YBL088C_idr_25,2.393965764,
min,YBL088C_idr_37,-3.082306139,,max,YBL088C_idr_37,11.05698609,
min,YBL088C_idr_41,-9.421541132,,max,YBL088C_idr_41,1.882260595,
min,YBL088C_idr_43,-3.074221765,,max,YBL088C_idr_43,2.563493188,
min,YBL088C_idr_7,-2.687065577,,max,YBL088C_idr_7,4.735704569,
min,YBL091C-A_idr_1,-6.41728354,,max,YBL091C-A_idr_1,3.036303119,
min,YBL091C_idr_1,-7.150400687,,max,YBL091C_idr_1,1.940369303,
min,YBL093C_idr_2,-15.46729606,,max,YBL093C_idr_2,2.080831533,
min,YBL097W_idr_10,-3.904235629,,max,YBL097W_idr_10,3.903866341,
min,YBL097W_idr_15,-11.83339161,,max,YBL097W_idr_15,2.899641003,
min,YBL097W_idr_8,-4.276842307,,max,YBL097W_idr_8,3.379535999,
min,YBL097W_idr_9,-10.76938161,,max,YBL097W_idr_9,3.469210606,
min,YBL099W_idr_1,-3.85489227,,max,YBL099W_idr_1,2.615793252,
min,YBL101C_idr_1,-7.313014552,,max,YBL101C_idr_1,7.344659319,
min,YBL101C_idr_10,-7.025791561,,max,YBL101C_idr_10,3.287781851,
min,YBL101C_idr_12,-5.040069856,,max,YBL101C_idr_12,3.378116701,
min,YBL101C_idr_3,-7.055745513,,max,YBL101C_idr_3,4.319855704,
min,YBL101C_idr_4,-8.388411421,,max,YBL101C_idr_4,8.142872958,
min,YBL101C_idr_7,-5.403617342,,max,YBL101C_idr_7,4.490208413,
min,YBL101C_idr_9,-3.915291006,,max,YBL101C_idr_9,1.360544274,
min,YBL102W_idr_2,-4.586990324,,max,YBL102W_idr_2,1.59664111,
min,YBL103C_idr_3,-4.776206786,,max,YBL103C_idr_3,6.470203739,
min,YBL103C_idr_4,-15.91318042,,max,YBL103C_idr_4,8.055169068,
min,YBL104C_idr_11,-6.472181853,,max,YBL104C_idr_11,3.067195316,
min,YBL104C_idr_3,-6.186464102,,max,YBL104C_idr_3,2.159035413,204-303
min,YBL104C_idr_7,-4.050233224,,max,YBL104C_idr_7,3.512366001,
min,YBL105C_idr_13,-4.343857398,,max,YBL105C_idr_13,2.907029866,
min,YBL105C_idr_3,-2.754015785,,max,YBL105C_idr_3,8.447691481,
min,YBL106C_idr_10,-4.495100341,,max,YBL106C_idr_10,5.351888858,
min,YBL106C_idr_2,-7.315208648,,max,YBL106C_idr_2,1.993201103,
min,YBR001C_idr_2,-2.864189859,,max,YBR001C_idr_2,9.585974449,
min,YBR003W_idr_3,-5.029922429,,max,YBR003W_idr_3,3.193709718,
min,YBR007C_idr_1,-10.20968702,,max,YBR007C_idr_1,6.878113328,
min,YBR014C_idr_4,-6.108352791,,max,YBR014C_idr_4,3.646771352,
min,YBR016W_idr_1,-9.214085645,,max,YBR016W_idr_1,4.958641735,
min,YBR021W_idr_1,-10.17901181,,max,YBR021W_idr_1,1.919552408,
min,YBR021W_idr_3,-5.075646545,,max,YBR021W_idr_3,2.364068305,
min,YBR023C_idr_1,-2.9967795,,max,YBR023C_idr_1,2.316865432,
min,YBR023C_idr_11,-5.303610592,,max,YBR023C_idr_11,5.226832009,
min,YBR023C_idr_2,-7.206240832,,max,YBR023C_idr_2,4.175664385,
min,YBR024W_idr_1,-10.84895946,,max,YBR024W_idr_1,3.068388989,
min,YBR028C_idr_1,-6.992332896,,max,YBR028C_idr_1,1.817375932,
min,YBR028C_idr_2,-2.633440943,,max,YBR028C_idr_2,3.116535635,
min,YBR029C_idr_1,-4.444073311,,max,YBR029C_idr_1,3.747807242,
min,YBR030W_idr_3,-4.116257046,,max,YBR030W_idr_3,4.601077042,
min,YBR033W_idr_1,-2.302062978,,max,YBR033W_idr_1,4.904206443,
min,YBR033W_idr_2,-8.83290482,,max,YBR033W_idr_2,8.820692825,
min,YBR033W_idr_4,-3.697396884,,max,YBR033W_idr_4,7.975032538,
min,YBR033W_idr_7,-3.946198833,,max,YBR033W_idr_7,2.706076969,
min,YBR033W_idr_8,-1.052896318,,max,YBR033W_idr_8,5.679814922,
min,YBR037C_idr_1,-5.314741152,,max,YBR037C_idr_1,13.17753214,
min,YBR038W_idr_1,-4.919507463,,max,YBR038W_idr_1,3.808818678,
min,YBR039W_idr_1,-6.391207622,,max,YBR039W_idr_1,1.612362927,
min,YBR041W_idr_1,-3.760097175,,max,YBR041W_idr_1,8.911918672,
min,YBR042C_idr_1,-5.563238389,,max,YBR042C_idr_1,2.299314197,
min,YBR043C_idr_1,-3.209225624,,max,YBR043C_idr_1,3.267543842,
min,YBR043C_idr_2,-11.26029764,,max,YBR043C_idr_2,4.415192512,
min,YBR045C_idr_9,-2.067520602,,max,YBR045C_idr_9,2.236318721,
min,YBR049C_idr_1,-3.814672334,,max,YBR049C_idr_1,6.338743141,
min,YBR049C_idr_2,-5.796003289,,max,YBR049C_idr_2,5.439811412,
min,YBR054W_idr_4,-6.399165043,,max,YBR054W_idr_4,4.128210578,
min,YBR055C_idr_3,-4.136745515,,max,YBR055C_idr_3,3.160404767,
min,YBR055C_idr_8,-6.295477971,,max,YBR055C_idr_8,3.421154615,
min,YBR059C_idr_2,-4.252892471,,max,YBR059C_idr_2,6.008541088,
min,YBR060C_idr_1,-3.028954851,,max,YBR060C_idr_1,5.217420149,
min,YBR065C_idr_2,-3.56035411,,max,YBR065C_idr_2,3.083791023,
min,YBR065C_idr_4,-9.164741196,,max,YBR065C_idr_4,3.451396337,
min,YBR068C_idr_1,-6.021518604,,max,YBR068C_idr_1,1.927041782,
min,YBR069C_idr_1,-5.497946882,,max,YBR069C_idr_1,1.922863208,
min,YBR073W_idr_2,-3.650349719,,max,YBR073W_idr_2,3.140098305,
min,YBR073W_idr_7,-6.678576502,,max,YBR073W_idr_7,3.498475544,
min,YBR073W_idr_8,-4.149210145,,max,YBR073W_idr_8,9.693494661,
min,YBR073W_idr_9,-3.370147665,,max,YBR073W_idr_9,2.154318658,
min,YBR074W_idr_1,-10.5769995,,max,YBR074W_idr_1,2.434722801,
min,YBR074W_idr_2,-7.781337897,,max,YBR074W_idr_2,6.634321457,
min,YBR078W_idr_2,-7.369899833,,max,YBR078W_idr_2,2.610684285,
min,YBR079C_idr_3,-12.77650153,,max,YBR079C_idr_3,5.894483222,
min,YBR079C_idr_6,-7.885220384,,max,YBR079C_idr_6,5.121539303,
min,YBR079C_idr_8,-4.841525045,,max,YBR079C_idr_8,2.23641738,
min,YBR081C_idr_10,-4.612357177,,max,YBR081C_idr_10,2.527443786,
min,YBR081C_idr_11,-4.656801737,,max,YBR081C_idr_11,1.539530824,
min,YBR081C_idr_6,-4.077776819,,max,YBR081C_idr_6,7.159587048,
min,YBR081C_idr_7,-5.314533328,,max,YBR081C_idr_7,4.521655354,
min,YBR081C_idr_8,-2.856701695,,max,YBR081C_idr_8,2.658524411,
min,YBR081C_idr_9,-3.542392169,,max,YBR081C_idr_9,5.448672208,
min,YBR083W_idr_5,-1.359661144,,max,YBR083W_idr_5,5.570020717,
min,YBR086C_idr_8,-2.09829509,,max,YBR086C_idr_8,9.008825753,
min,YBR089C-A_idr_1,-6.640118436,,max,YBR089C-A_idr_1,1.861176337,
min,YBR095C_idr_5,-7.382862244,,max,YBR095C_idr_5,3.634247217,
min,YBR095C_idr_7,-6.505770369,,max,YBR095C_idr_7,2.553517125,
min,YBR097W_idr_13,-8.120715433,,max,YBR097W_idr_13,3.045698705,
min,YBR097W_idr_2,-4.445296878,,max,YBR097W_idr_2,2.071206586,
min,YBR097W_idr_7,-3.732476852,,max,YBR097W_idr_7,3.455499556,
min,YBR097W_idr_9,-4.387701008,,max,YBR097W_idr_9,3.642682448,
min,YBR098W_idr_5,-2.656799748,,max,YBR098W_idr_5,3.163022154,
min,YBR098W_idr_6,-2.632130101,,max,YBR098W_idr_6,6.678085508,
min,YBR102C_idr_1,-12.86072394,,max,YBR102C_idr_1,3.825747572,
min,YBR102C_idr_2,-6.251417994,,max,YBR102C_idr_2,2.235073801,
min,YBR102C_idr_3,-2.13851101,,max,YBR102C_idr_3,4.180921716,
min,YBR105C_idr_1,-3.482773281,,max,YBR105C_idr_1,4.452733271,
min,YBR108W_idr_2,-3.969888491,,max,YBR108W_idr_2,4.377299282,
min,YBR108W_idr_4,-4.882131347,,max,YBR108W_idr_4,15.21214706,
min,YBR112C_idr_2,-2.95503181,,max,YBR112C_idr_2,7.806431923,
min,YBR114W_idr_1,-6.264655742,,max,YBR114W_idr_1,3.306928784,
min,YBR115C_idr_2,-2.817729982,,max,YBR115C_idr_2,1.425107543,
min,YBR122C_idr_2,-14.44709154,,max,YBR122C_idr_2,4.151391033,
min,YBR123C_idr_5,-5.057238583,,max,YBR123C_idr_5,3.113921829,
min,YBR129C_idr_4,-2.026545309,,max,YBR129C_idr_4,3.815627472,
min,YBR130C_idr_6,-6.926266761,,max,YBR130C_idr_6,7.617829872,
min,YBR131W_idr_2,-9.639313741,,max,YBR131W_idr_2,4.807111691,
min,YBR131W_idr_3,-2.13177124,,max,YBR131W_idr_3,1.540853408,
min,YBR132C_idr_1,-4.715930789,,max,YBR132C_idr_1,7.674248776,
min,YBR133C_idr_12,-5.349105017,,max,YBR133C_idr_12,5.767736513,
min,YBR136W_idr_25,-5.630368071,,max,YBR136W_idr_25,2.855309,
min,YBR138C_idr_10,-4.843199254,,max,YBR138C_idr_10,2.147557437,
min,YBR138C_idr_6,-5.354194353,,max,YBR138C_idr_6,1.790116274,
min,YBR139W_idr_1,-3.386904732,,max,YBR139W_idr_1,4.475504403,
min,YBR140C_idr_11,-6.745731714,,max,YBR140C_idr_11,7.721944698,
min,YBR140C_idr_2,-5.734382692,,max,YBR140C_idr_2,4.896555921,
min,YBR140C_idr_25,-5.037412557,,max,YBR140C_idr_25,2.446094867,
min,YBR140C_idr_26,-8.024033171,,max,YBR140C_idr_26,2.207045512,
min,YBR140C_idr_30,-3.62361752,,max,YBR140C_idr_30,0.958247676,
min,YBR140C_idr_38,-5.270816316,,max,YBR140C_idr_38,1.749629177,
min,YBR140C_idr_42,-6.278983837,,max,YBR140C_idr_42,6.353253546,
min,YBR140C_idr_6,-6.557141333,,max,YBR140C_idr_6,4.716985514,304-403
min,YBR142W_idr_12,-6.70865007,,max,YBR142W_idr_12,0.916950286,
min,YBR142W_idr_6,-9.654872905,,max,YBR142W_idr_6,4.896546036,
min,YBR147W_idr_4,-2.784940658,,max,YBR147W_idr_4,3.207896761,
min,YBR150C_idr_1,-2.487635384,,max,YBR150C_idr_1,4.679933476,
min,YBR150C_idr_2,-2.371733107,,max,YBR150C_idr_2,6.189270183,
min,YBR150C_idr_7,-3.82522645,,max,YBR150C_idr_7,4.820856923,
min,YBR152W_idr_1,-3.425789627,,max,YBR152W_idr_1,1.766938171,
min,YBR156C_idr_2,-10.5689273,,max,YBR156C_idr_2,5.208046765,
min,YBR158W_idr_1,-3.460014862,,max,YBR158W_idr_1,4.681757118,
min,YBR162C_idr_3,-3.064580834,,max,YBR162C_idr_3,6.304754158,
min,YBR163W_idr_2,-3.850961717,,max,YBR163W_idr_2,2.152703189,
min,YBR163W_idr_6,-2.889811065,,max,YBR163W_idr_6,2.870321328,
min,YBR168W_idr_4,-3.803074541,,max,YBR168W_idr_4,2.003416032,
min,YBR169C_idr_4,-4.979664669,,max,YBR169C_idr_4,5.739496291,
min,YBR170C_idr_1,-3.447559899,,max,YBR170C_idr_1,3.842236099,
min,YBR172C_idr_1,-7.764681069,,max,YBR172C_idr_1,9.380235499,
min,YBR172C_idr_4,-5.970597227,,max,YBR172C_idr_4,6.458358934,
min,YBR172C_idr_5,-7.923509617,,max,YBR172C_idr_5,0.491743578,
min,YBR179C_idr_1,-2.726313672,,max,YBR179C_idr_1,6.749245234,
min,YBR179C_idr_3,-5.012249421,,max,YBR179C_idr_3,2.929346878,
min,YBR180W_idr_1,-11.08557314,,max,YBR180W_idr_1,3.832276532,
min,YBR182C_idr_16,-4.429134761,,max,YBR182C_idr_16,6.299329346,
min,YBR185C_idr_1,-10.70258696,,max,YBR185C_idr_1,2.796623783,
min,YBR187W_idr_1,-3.247051942,,max,YBR187W_idr_1,12.82260103,
min,YBR187W_idr_2,-7.16100413,,max,YBR187W_idr_2,4.519329343,
min,YBR197C_idr_3,-3.075632125,,max,YBR197C_idr_3,2.806988737,
min,YBR198C_idr_1,-7.828674161,,max,YBR198C_idr_1,6.931051965,
min,YBR198C_idr_2,-3.564595318,,max,YBR198C_idr_2,3.649918246,
min,YBR199W_idr_2,-2.067866972,,max,YBR199W_idr_2,3.979008,
min,YBR200W_idr_1,-6.728440741,,max,YBR200W_idr_1,3.589890036,
min,YBR200W_idr_3,-1.607238447,,max,YBR200W_idr_3,6.080004122,
min,YBR200W_idr_5,-8.701346007,,max,YBR200W_idr_5,2.656400629,
min,YBR202W_idr_4,-4.895104088,,max,YBR202W_idr_4,3.767907372,
min,YBR203W_idr_19,-4.038154465,,max,YBR203W_idr_19,4.594192407,
min,YBR203W_idr_2,-3.88661254,,max,YBR203W_idr_2,2.768857162,
min,YBR203W_idr_22,-4.938330843,,max,YBR203W_idr_22,3.438572093,
min,YBR203W_idr_4,-1.671245362,,max,YBR203W_idr_4,2.325106948,
