Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_LIR_Gen_1,LIG_PCNA_PIPBox_1,LIG_PTB_Apo_2,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,Q_homorep,PY,FRG,PG_rich,R_plus_Y,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
N. delphensis,-0.331953065,-0.441769206,-0.925272763,-0.545544726,-0.21821789,-0.837707817,2.390457219,-0.21821789,-0.401407393,-0.836536288,-0.21821789,-0.956182887,-0.288169032,-0.866415499,0.196494373,-0.453933633,1.5430335,2.01186954,-0.21821789,0,-0.765559002,0.765559002,-0.21821789,-0.21821789,2.390457219,-0.577350269,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,-0.21821789,-0.509647191,-0.717137166,0.09361753,-0.585305968,-0.267797373,-0.21821789,-0.690065559,-0.316623793,0,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-0.455426022,-0.554221104,-0.525611581,-0.406978464,-0.754813183,-0.685994341,-0.235589926,-1.030659156,-0.634815681,-0.935049164,-0.290289962,-0.105644282,-0.506369684,-0.034121546,0.095694875,-0.649878362,0.55159425,-0.328161117,-0.398409537,0.676664952,-0.254102736,-0.682534608,-0.419313934,-0.662011327,-0.807965989,-0.045452198,-0.668763226,-0.162740449,-0.591653122,0.819617361,-0.916942047,0.386709112,0.20652343,-1.008889125,0.207662203,0.869658277,-1.707478675,-1.243589771,-1.243589771
N. nivariensis,-0.331953065,-0.441769206,-0.925272763,1.745743122,-0.21821789,-0.837707817,2.390457219,-0.21821789,-0.401407393,0.514791562,-0.21821789,0.717137166,0.468274677,-0.866415499,0.196494373,-0.453933633,1.5430335,-0.473381068,-0.21821789,0,-0.765559002,0.765559002,-0.21821789,-0.21821789,2.390457219,-0.577350269,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,-0.21821789,-0.509647191,-0.717137166,0.09361753,-0.585305968,-0.267797373,-0.21821789,-0.690065559,-0.316623793,0,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-0.455426022,-0.554221104,-0.274751508,-0.406978464,-0.754813183,-0.685994341,-0.235589926,-0.489563099,0.1983799,-0.935049164,-0.290289962,-0.105644282,-0.506369684,-0.75067401,0.095694875,-0.649878362,1.770907853,-0.328161117,-0.398409537,0.676664952,-0.254102736,-0.682534608,-0.174714138,-0.452166227,-0.610671969,-0.045452198,-0.52690436,-0.162740449,0.097815878,0.375900488,-0.916942047,-0.094683778,0.20652343,-1.008889125,0.031165316,1.211354252,-1.069440405,-0.970227546,-0.970227546
Nk. Castellii,-0.331953065,-0.441769206,-0.925272763,-0.545544726,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.401407393,-0.836536288,-0.21821789,-0.956182887,-1.044612741,-0.866415499,0.196494373,-0.675622152,-0.6172134,2.01186954,-0.21821789,-0.587220219,-0.765559002,-1.244033379,-0.21821789,-0.21821789,-0.398409537,1.154700538,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,-0.21821789,-0.509647191,-0.717137166,-0.561705179,0.643836565,-0.267797373,-0.21821789,-0.690065559,-0.316623793,-0.587220219,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-1.191114213,-0.330401043,-0.525611581,-1.017446159,-0.145156381,-0.685994341,-0.235589926,0.051532958,-1.468011261,-0.935049164,1.116499855,-0.105644282,-0.506369684,-0.034121546,2.105287256,0.714866199,-0.667719354,-1.189584051,-0.398409537,-0.270665981,0.746426785,0.420021297,-0.419313934,-0.609550052,0.178504113,-0.522700274,-0.52690436,-0.504495391,-1.447417129,-1.006610827,-0.802695222,1.333659601,-0.919702929,-1.694475673,0.401147176,1.01348214,1.274604585,-0.125620262,-0.125620262
Nm. Castellii ncbi,-0.331953065,1.413661459,-0.925272763,-0.545544726,-0.21821789,-0.837707817,-0.398409537,4.364357805,-0.100351848,-0.836536288,4.364357805,-0.956182887,-1.044612741,-0.866415499,0.196494373,-0.453933633,1.5430335,-0.473381068,4.364357805,-0.587220219,-0.765559002,-1.244033379,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,-0.956182887,-0.21821789,-0.316623793,-0.21821789,0.382235394,-0.717137166,-0.561705179,0.643836565,-0.267797373,-0.21821789,-0.690065559,3.007926037,-0.587220219,-0.21821789,-1.023532631,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-1.191114213,-0.554221104,-0.023891435,-0.406978464,-0.145156381,-1.028991511,-0.395183102,0.322080986,-1.468011261,-0.935049164,-1.228149841,-1.584664227,1.012739367,-0.75067401,0.095694875,0.032493918,-0.667719354,-2.051006984,-0.398409537,-0.270665981,-1.588142097,-0.682534608,-1.153113319,-0.609550052,-1.20255403,0.431795879,-0.90519467,1.20427932,-1.719360084,0.325310287,-0.646904097,-0.677169176,-0.592546888,-1.008889125,-0.962113502,1.42486719,1.633417312,-0.632892317,-0.632892317
S. arboricola,-0.331953065,-0.441769206,0.569398623,-0.545544726,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.401407393,1.866119411,-0.21821789,0.717137166,-0.288169032,0.091201631,0.196494373,-0.232245115,-0.6172134,-0.473381068,-0.21821789,-0.587220219,1.244033379,0.765559002,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,-0.956182887,-0.21821789,-0.316623793,-0.21821789,-0.509647191,0.956182887,-0.561705179,-0.585305968,-0.267797373,-0.21821789,1.380131119,-0.316623793,-0.587220219,-0.21821789,0.93048421,-0.21821789,-0.316623793,4.364357805,-0.316623793,0.280262168,-0.554221104,-0.525611581,0.203489232,-0.754813183,-0.685994341,-0.554776278,-0.760111127,0.1983799,1.168811456,-0.759219902,-0.845154255,0.253184842,0.682430917,1.100491066,-0.649878362,-0.667719354,0.533261816,-0.398409537,-1.217996914,-0.921122416,1.522577202,-0.419313934,-0.504627502,-0.413377948,-0.522700274,-0.479618071,1.887789204,-0.330070159,1.103652182,2.733763307,0.606588568,-0.086127621,0.465574515,-1.234941783,-0.984134275,0.508591272,-0.150225024,-0.150225024
S. eubayanus,-0.331953065,-0.441769206,2.06407001,-0.545544726,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.401407393,0.514791562,-0.21821789,0.717137166,0.468274677,1.048818761,1.571954984,-0.232245115,-0.6172134,-0.473381068,-0.21821789,-0.587220219,1.244033379,0.765559002,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,-0.956182887,-0.21821789,-0.316623793,-0.21821789,-0.509647191,0.956182887,-0.561705179,-0.585305968,-0.267797373,-0.21821789,1.380131119,-0.316623793,-0.587220219,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,0.280262168,-0.330401043,-0.274751508,-0.406978464,-0.145156381,1.371988681,-0.395183102,-0.219015071,0.61497769,1.168811456,2.054359734,2.112885636,0.253184842,-0.034121546,1.100491066,-0.649878362,-0.667719354,2.256107682,-0.398409537,-1.217996914,2.413975987,1.522577202,0.069885657,-0.032476027,1.756856276,-0.522700274,0.418821414,-1.529760217,0.834728733,-1.178277832,0.113875895,1.107982528,0.077308692,0.465574515,1.294271629,-0.467651251,-0.242295566,0.219240269,0.219240269
S. kudriavzevii,-0.331953065,-0.441769206,0.569398623,1.745743122,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.401407393,1.866119411,-0.21821789,2.390457219,1.224718385,0.091201631,-1.178966238,-0.232245115,-0.6172134,-0.473381068,-0.21821789,-0.587220219,1.244033379,0.765559002,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,-0.956182887,-0.21821789,-0.316623793,-0.21821789,-0.509647191,-0.717137166,-0.561705179,-0.585305968,-0.267797373,-0.21821789,1.380131119,-0.316623793,-0.587220219,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-1.191114213,-0.554221104,-0.776471654,0.203489232,-0.754813183,-0.685994341,-0.554776278,-0.760111127,0.61497769,-0.233762291,-0.759219902,-1.584664227,0.253184842,0.682430917,0.095694875,0.032493918,-0.667719354,0.533261816,-0.398409537,-1.217996914,-1.254632256,-0.131256655,-0.174714138,-0.452166227,-1.399848051,-0.522700274,-0.668763226,1.20427932,-1.317148486,2.719521942,0.051559445,-0.312726441,-1.21235398,-0.078606144,-0.986191553,-0.435276332,0.074850584,-0.231617067,-0.231617067
S. paradoxus,-0.331953065,-0.441769206,0.569398623,-0.545544726,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.401407393,0.514791562,-0.21821789,0.717137166,-0.288169032,0.091201631,0.196494373,-0.232245115,-0.6172134,-0.473381068,-0.21821789,-0.587220219,1.244033379,0.765559002,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,-0.956182887,-0.21821789,-0.316623793,-0.21821789,-0.509647191,0.956182887,-0.561705179,-0.585305968,-0.267797373,-0.21821789,1.380131119,-0.316623793,-0.587220219,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,0.280262168,-0.554221104,-0.525611581,0.203489232,-0.754813183,-0.34299717,-0.554776278,-0.760111127,0.1983799,1.168811456,0.178639977,0.633865691,0.253184842,0.682430917,1.100491066,-0.649878362,-0.667719354,0.533261816,-0.398409537,-1.217996914,0.412916945,1.522577202,-0.419313934,-0.452166227,0.375798133,-0.522700274,-0.243186628,0.520769436,-0.050847881,0.145343535,0.139841082,1.191322944,0.398159131,0.465574515,-0.637624193,-1.12087048,-0.838835472,-0.037497973,-0.037497973
S. pastorianus,-0.331953065,-0.441769206,2.06407001,-0.545544726,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.401407393,0.514791562,-0.21821789,0.717137166,0.468274677,1.048818761,1.571954984,-0.232245115,-0.6172134,-0.473381068,-0.21821789,-0.587220219,1.244033379,0.765559002,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,-0.956182887,-0.21821789,-0.316623793,-0.21821789,-0.509647191,0.956182887,-0.561705179,-0.585305968,-0.267797373,-0.21821789,1.380131119,-0.316623793,-0.587220219,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,0.280262168,-0.330401043,-0.274751508,-0.406978464,-0.145156381,-0.34299717,-0.554776278,-1.030659156,0.61497769,1.168811456,-0.290289962,0.633865691,0.253184842,-0.034121546,1.100491066,-0.649878362,-0.667719354,0.533261816,-0.398409537,-1.217996914,0.079407105,1.522577202,-0.419313934,-0.504627502,0.375798133,-0.522700274,-0.195900339,0.862524378,-0.025892781,0.281706435,0.482581556,1.035415385,0.826330521,0.465574515,-0.88137308,-1.359930571,0.181747455,-0.058128925,-0.058128925
Y. lipolytica,-0.331953065,-0.441769206,0.569398623,-0.545544726,-0.21821789,-0.837707817,-0.398409537,-0.21821789,-0.100351848,-0.836536288,-0.21821789,-0.956182887,-0.288169032,0.091201631,1.571954984,0.654508959,-0.6172134,-0.473381068,-0.21821789,1.174440439,1.244033379,0.765559002,4.364357805,-0.21821789,-0.398409537,1.154700538,-0.21821789,3.007926037,-0.956182887,4.364357805,-0.316623793,-0.21821789,0.382235394,-0.717137166,0.748940239,-0.585305968,-0.267797373,4.364357805,1.380131119,-0.316623793,1.174440439,-0.21821789,-1.023532631,-0.21821789,-0.316623793,-0.21821789,-0.316623793,0.280262168,1.460159448,0.728688783,-0.101744616,2.293470826,1.028991511,-0.07599675,0.592629014,-0.634815681,-0.233762291,-1.228149841,-0.105644282,-0.506369684,-1.467226473,0.095694875,2.079610759,1.770907853,0.533261816,-0.398409537,0.676664952,-0.921122416,-0.131256655,2.026684019,0.492136722,-0.018789908,-0.045452198,0.513393992,0.862524378,1.398756477,0.519027695,1.718524478,-1.395491089,1.332749788,-0.078606144,-1.228614286,1.069939755,-1.122565436,-0.276272162,-0.276272162
Z. parabailii,-0.331953065,-0.441769206,-0.925272763,-0.545544726,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.401407393,-0.836536288,-0.21821789,-0.956182887,-1.044612741,1.048818761,-1.178966238,-0.675622152,-0.6172134,-0.473381068,-0.21821789,-0.587220219,-0.765559002,-1.244033379,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,3.007926037,0.717137166,-0.21821789,-0.316623793,-0.21821789,-0.509647191,-0.717137166,0.09361753,-0.585305968,0.856951595,-0.21821789,-0.690065559,-0.316623793,-0.587220219,-0.21821789,-1.023532631,-0.21821789,-0.316623793,-0.21821789,-0.316623793,1.015950358,-0.106580982,-0.274751508,-0.712212312,-0.145156381,-0.34299717,-0.235589926,-0.760111127,-1.468011261,1.168811456,0.178639977,0.633865691,-0.506369684,-0.034121546,-0.909101315,-0.649878362,-0.667719354,-0.328161117,-0.398409537,-0.270665981,0.412916945,0.420021297,-0.663913729,-0.609550052,0.178504113,-0.522700274,-0.385045494,-0.162740449,-0.310059603,-0.916682038,-0.405427854,1.164744109,0.398159131,1.395857495,0.208371607,-1.101150155,1.208116194,-0.150225024,-0.150225024
