	REP_Q2	REP_N2	REP_S2	REP_G2	REP_E2	REP_D2	REP_K2	REP_R2	REP_P2	REP_QN2	REP_RG2	REP_PR	REP_FG2	REP_SG2	REP_SR2	REP_KAP2	REP_PTS2	CLV_C14_Caspase3-7	DEG_APCC_KENBOX_2	DEG_Kelch_Keap1_1	DEG_SCF_TRCP1_1	DOC_ANK_TNKS_1	DOC_CYCLIN_RxL_1	DOC_MAPK_gen_1	DOC_MAPK_JIP1_4	DOC_MAPK_MEF2A_6	DOC_MAPK_NFAT4_5	DOC_PP1_RVXF_1	DOC_PP2A_B56_1	DOC_PP4_FxxP_1	DOC_WW_Pin1_4	LIG_14-3-3_CanoR_1	LIG_CaM_IQ_9	LIG_CtBP_PxDLS_1	LIG_EF_ALG2_ABM_1	LIG_EH_1	LIG_HCF-1_HBM_1	LIG_HOMEOBOX	LIG_KEPE_2	LIG_KLC1_WD_1	LIG_LIR_Gen_1	LIG_PAM2_1	LIG_PCNA_PIPBox_1	LIG_PDZ_Class_1	LIG_PDZ_Wminus1_1	LIG_PTAP_UEV_1	LIG_PTB_Apo_2	LIG_PTB_Phospho_1	LIG_Rb_LxCxE_1	LIG_SH2_CRK	LIG_SH2_GRB2like	LIG_SH2_NCK_1	LIG_SH2_SRC	LIG_SH2_STAP1	LIG_SH2_STAT5	LIG_SH3_2	LIG_SUMO_SIM_anti_2	LIG_SUMO_SIM_par_1	LIG_WRPW_1	MOD_CDK_SPK_2	MOD_CDK_SPxK_1	MOD_CDK_SPxxK_3	MOD_CK1_1	MOD_CK2_1	MOD_DYRK1A_RPxSP_1	MOD_GSK3_1	MOD_N-GLC_1	MOD_NMyristoyl	MOD_PIKK_1	MOD_PKA_1	MOD_PKA_2	MOD_PKB_1	MOD_Plk_1	MOD_ProDKin_1	MOD_SUMO_for_1	MOD_SUMO_rev_2	TRG_ER_diArg_1	TRG_ER_FFAT_1	TRG_LysEnd_APsAcLL_1	TRG_NES_CRM1_1	TRG_NLS_MonoExtN_4	A_homorep	C_homorep	D_homorep	E_homorep	G_homorep	H_homorep	I_homorep	K_homorep	L_homorep	M_homorep	N_homorep	P_homorep	Q_homorep	R_homorep	S_homorep	T_homorep	V_homorep	Y_homorep	FG_rich	PY	FRG	SGFYSG	PG_rich	ELASTIN_LIKE	FGxF	R_plus_Y	REP_RGG	AA_S	AA_P	AA_T	AA_A	AA_H	AA_Q	AA_N	AA_G	AA_R	AA_C	AA_D	AA_E	AA_F	AA_I	AA_K	AA_L	AA_M	AA_V	AA_W	AA_Y	acidic	basic	aliphatic	polar_fraction	chain_expanding	aromatic	disorder_promoting	net_charge	WF_complexity	KL_hydropathy	isoelectric_point	FCR	ED_ratio	RK_ratio	SCD	kappa*	omega*	aromatic_spacing*	omega_aromatic*
>BN122_CANI0s08e01177g1_1 PHO4 Protein [Nakaseomyces nivariensis]	4.0	1.0	13.0	0.0	0.0	2.0	1.0	3.0	2.0	8.0	3.0	7.0	2.0	26.0	30.0	9.0	47.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	12.0	3.0	0.0	15.0	8.0	0.0	2.0	2.0	5.0	0.0	5.0	8.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	21.0	0.0	69.0	23.0	24.0	10.0	9.0	16.0	24.0	16.0	16.0	0.0	19.0	15.0	8.0	10.0	23.0	22.0	10.0	14.0	2.0	5.0	34.0	39.0	66.0	158.0	96.0	15.0	240.0	5.0	0.867372387280894	-0.9737313432835822	9.2216796875	0.21791044776119403	-0.2231435513142097	-0.3448404862917296	-1.2568541412107885	0.9925729893403824	-0.5933520554153117	0.594711263257492	0.594711263257492
>BN121_CACA0s05e10208g1_1 PHO4 Protein [Nakaseomyces castellii]	2.0	4.0	11.0	1.0	0.0	5.0	2.0	2.0	0.0	8.0	4.0	4.0	2.0	22.0	14.0	6.0	29.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	12.0	5.0	0.0	3.0	3.0	5.0	0.0	3.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	24.0	0.0	63.0	16.0	19.0	17.0	9.0	14.0	28.0	23.0	13.0	0.0	26.0	12.0	7.0	21.0	23.0	19.0	7.0	16.0	0.0	11.0	38.0	36.0	80.0	156.0	90.0	18.0	235.0	-2.0	0.8749388145664717	-0.7918604651162792	6.5439453125	0.21511627906976744	-0.7308875085427924	-0.5389965007326873	-1.102246680697547	1.2180886708768113	-0.5724316945834347	-1.8003035094163247	-1.8003035094163247
>XP_003676616.1 hypothetical protein NCAS_0E01860 [Naumovozyma castellii CBS 4309]	0.0	5.0	9.0	1.0	1.0	0.0	2.0	1.0	0.0	8.0	3.0	6.0	1.0	15.0	15.0	10.0	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	4.0	0.0	7.0	4.0	0.0	4.0	3.0	5.0	0.0	3.0	4.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	51.0	17.0	11.0	13.0	10.0	7.0	24.0	5.0	12.0	0.0	10.0	20.0	11.0	17.0	21.0	13.0	9.0	12.0	0.0	5.0	30.0	33.0	64.0	108.0	80.0	16.0	177.0	3.0	0.8606582563602557	-0.8134328358208954	8.9287109375	0.23507462686567165	0.6466271649250523	-0.5260930958967793	-2.928574335342906	0.7036579124611263	-0.12220197607212796	0.9976984686952259	0.9976984686952259
>EJS43866.1 pho4p [Saccharomyces arboricola H-6]	0.0	1.0	6.0	0.0	1.0	0.0	1.0	2.0	0.0	2.0	4.0	5.0	0.0	11.0	12.0	9.0	34.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	5.0	2.0	0.0	9.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0	0.0	29.0	17.0	26.0	11.0	6.0	1.0	9.0	6.0	8.0	0.0	4.0	4.0	1.0	8.0	12.0	11.0	5.0	12.0	1.0	3.0	8.0	20.0	47.0	77.0	45.0	5.0	124.0	12.0	0.8173827383156206	-0.4626436781609196	10.4111328125	0.16091954022988506	0.0	-0.3677247801253172	1.9195459126248535	2.511783263112628	0.028225890818828866	-0.8858470885316773	-0.8858470885316773
>QHB08372.1 Pho4 [Saccharomyces cerevisiae]	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	4.0	0.0	7.0	11.0	13.0	23.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	7.0	2.0	0.0	6.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0	0.0	28.0	20.0	15.0	13.0	6.0	2.0	6.0	5.0	8.0	0.0	4.0	3.0	1.0	6.0	13.0	10.0	3.0	13.0	1.0	3.0	7.0	21.0	45.0	62.0	48.0	5.0	117.0	14.0	0.8141227216408933	-0.49125000000000013	10.5869140625	0.175	-0.2231435513142097	-0.44183275227903884	3.0958428363997785	1.6256974632663952	-0.360002010748856	-0.9274623191337722	-0.9274623191337722
>CAI1973783.1 hypothetical protein SEUBUCD650_0F00940 [Saccharomyces eubayanus]	0.0	2.0	4.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	7.0	5.0	2.0	10.0	10.0	14.0	23.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0	1.0	0.0	5.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	11.0	0.0	23.0	20.0	17.0	12.0	6.0	2.0	9.0	8.0	8.0	1.0	5.0	2.0	2.0	8.0	11.0	10.0	4.0	9.0	1.0	3.0	7.0	19.0	43.0	66.0	46.0	6.0	114.0	12.0	0.8390642309982078	-0.5111801242236026	10.3759765625	0.16149068322981366	-0.6931471805599452	-0.2876820724517808	2.12846777724928	1.9537423882094755	-0.16940829405127286	-1.120153916627141	-1.120153916627141
>EJT41994.1 PHO4-like protein [Saccharomyces kudriavzevii IFO 1802]	0.0	0.0	8.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	5.0	6.0	0.0	12.0	15.0	7.0	33.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	8.0	2.0	0.0	8.0	3.0	0.0	1.0	2.0	2.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	12.0	0.0	31.0	16.0	23.0	11.0	5.0	2.0	9.0	7.0	9.0	0.0	4.0	3.0	1.0	8.0	10.0	11.0	4.0	10.0	1.0	3.0	7.0	19.0	44.0	77.0	42.0	5.0	121.0	12.0	0.815782496865766	-0.4916666666666667	10.6494140625	0.15476190476190477	-0.2231435513142097	-0.09531017980432477	2.1771591166919313	1.6643603963873779	0.35065650160079975	-0.9029861104973014	-0.9029861104973014
>XP_033766099.1 Pho4 [Saccharomyces paradoxus]	0.0	1.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	4.0	4.0	0.0	5.0	10.0	11.0	27.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	5.0	1.0	0.0	6.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0	0.0	25.0	18.0	20.0	12.0	5.0	2.0	10.0	5.0	8.0	0.0	4.0	3.0	1.0	6.0	12.0	11.0	4.0	12.0	1.0	3.0	7.0	20.0	45.0	67.0	45.0	5.0	114.0	13.0	0.822073196221448	-0.5166666666666667	10.5537109375	0.16666666666666666	-0.2231435513142097	-0.3677247801253172	2.6353119404770493	1.6172003396609285	0.3160132262435808	-0.9211575614308017	-0.9211575614308017
>QID84820.1 phosphate-sensing transcription factor [Saccharomyces pastorianus]	0.0	2.0	4.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	7.0	5.0	2.0	10.0	10.0	14.0	23.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0	1.0	0.0	5.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	11.0	0.0	23.0	20.0	17.0	12.0	6.0	2.0	9.0	7.0	8.0	1.0	6.0	2.0	2.0	8.0	11.0	10.0	4.0	9.0	1.0	3.0	8.0	19.0	43.0	65.0	47.0	6.0	114.0	11.0	0.8396606945694962	-0.5304347826086957	10.2451171875	0.16770186335403728	-0.8472978603872034	-0.2876820724517808	1.5812077585588358	2.23747121169106	-0.2419555981522141	-1.120153916627141	-1.120153916627141
>YALI0F05126g1_1 PHO4 Protein [Yarrowia lipolytica]	5.0	2.0	17.0	7.0	0.0	2.0	3.0	1.0	5.0	15.0	13.0	9.0	7.0	48.0	29.0	26.0	53.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	14.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	2.0	0.0	16.0	5.0	0.0	0.0	3.0	6.0	0.0	1.0	14.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	25.0	1.0	80.0	48.0	19.0	36.0	8.0	23.0	29.0	43.0	18.0	0.0	17.0	10.0	6.0	15.0	20.0	24.0	17.0	21.0	1.0	7.0	27.0	38.0	113.0	202.0	113.0	14.0	322.0	11.0	0.8654102598923165	-0.6371040723981901	9.7626953125	0.14705882352941177	-0.49247648509779385	-0.10008345855698275	0.18065368346500557	1.8358421474858957	0.40765287696362434	-0.060941500059284	-0.060941500059284
>AQZ14724.1 PHO4 (YFR034C) [Zygosaccharomyces parabailii]	1.0	2.0	10.0	3.0	1.0	2.0	0.0	1.0	0.0	4.0	6.0	6.0	4.0	28.0	19.0	11.0	36.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	7.0	4.0	0.0	13.0	5.0	1.0	4.0	1.0	6.0	1.0	1.0	9.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	49.0	23.0	23.0	22.0	4.0	11.0	17.0	19.0	19.0	1.0	13.0	12.0	6.0	6.0	15.0	16.0	6.0	11.0	1.0	5.0	25.0	34.0	61.0	124.0	82.0	12.0	210.0	9.0	0.8657350229277687	-0.8784946236559141	9.7373046875	0.2114695340501792	-0.07410797215372167	0.2231435513142097	-0.08882760291816465	1.0921829544933312	0.40412391580274554	0.4584158922181914	0.4584158922181914
