Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DOC_ANK_TNKS_1,DOC_MAPK_gen_1,DOC_MAPK_MEF2A_6,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PDZ_Class_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,N_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
N. delphensis,0.22110286,-0.613169843,0.850991601,-0.514513664,-0.218217892,2.509505737,-0.577350269,1.58113883,-0.398409537,0.020544126,0.184840831,-0.24024999,-0.585998034,0.721969129,1.378081925,-0.812486363,0.103569959,-0.870715432,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,0.180187493,-0.218217892,-0.218217892,-0.316623792,1.154700539,1.74574312,-0.93048421,0.364541309,-0.218217892,-0.577350269,-0.316623792,-0.729613051,-0.765559002,-0.218217892,-0.398409537,-0.240099356,1.615321294,0.105234011,1.002488597,2.120352543,0.135988359,-0.398409537,-0.218217892,-0.925272762,-0.732114159,4.364357808,-0.316623792,1.380131118,-0.218217892,-0.47338107,1.792842913,-0.218217892,0.316623792,-0.791559483,-0.398409537,-0.765559002,0.61141784,-0.218217892,0.617995347,-0.74495194,-0.172660332,-0.399696214,-1.204828993,0.506719637,-0.123450396,0.362263126,0.702728369,-0.218217892,0.634815681,0.267022935,-0.324016785,-0.941789322,1.147695212,2.047514,0.322094048,-0.223851977,1.814448501,0,0.544869208,1.043848456,0.037353499,0.289063805,0.166108884,0.296349894,0.246316851,0.65118987,0.411469276,-0.680537304,0.247731545,1.381602864,-0.099027493,0.173970241,-0.491472337,0.389146857,-1.059299503,1.900826093,1.695576469
N. nivariensis,0.22110286,-0.613169843,1.223300426,-0.514513664,-0.218217892,1.363861813,-0.577350269,1.58113883,0.99602384,-0.410882531,-0.30036635,0.600624975,-0.585998034,0.881562305,1.378081925,-0.457023579,0.414279836,-0.870715432,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,1.441499941,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,-0.93048421,0.364541309,-0.218217892,-0.577350269,-0.316623792,-0.729613051,-0.765559002,-0.218217892,-0.398409537,-0.240099356,-0.080766065,1.052340112,1.002488597,-0.286534127,0.135988359,0.531212715,-0.218217892,-0.925272762,-0.732114159,-0.218217892,-0.316623792,1.380131118,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,-0.791559483,-0.398409537,1.244033378,0.61141784,-0.218217892,0.915199215,-0.419035466,-0.897833733,-0.65404835,-0.803219329,-0.008172897,0.038578249,0.031501141,1.054092553,-0.218217892,0.21821789,0.267022935,0.162008392,0.047089466,0.163956459,0.304360189,1.390090101,-0.223851977,1.814448501,-0.72547625,0.296124569,0.80296035,0.149413998,0.16259839,0.166108884,0.296349894,0.093279754,0.65118987,0.454824673,-0.316831129,0.495463093,0.927911805,0.243478969,0.959212308,-0.038911106,0.456472754,-1.20001143,0.626145956,0.53069574
Nk. Castellii,-0.810710487,-0.053319117,0.10637395,0.316623793,-0.218217892,1.363861813,1.154700539,-1.58113883,-0.398409537,-0.62659586,-0.30036635,-1.92199992,0.183124385,-0.07599675,-0.516780722,-0.457023579,-0.673204732,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-1.463264919,-0.033277917,0.180187493,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,-0.93048421,0.364541309,-0.218217892,1.154700539,3.007926036,1.185621208,1.244033378,-0.218217892,-0.398409537,0.535606257,-0.080766065,0.105234011,0.364541308,0.916909208,0.135988359,1.460834967,-0.218217892,0.569398623,-0.033277917,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,1.978898707,0.870715432,-0.398409537,-0.765559002,0.61141784,-0.218217892,0.51892739,-0.74495194,0.069064134,-0.65404835,0,-0.351434587,-0.123450396,0.858406103,-0.351364184,-0.218217892,2.301206842,-0.133511467,-0.324016785,2.024847042,2.131433966,0.885411459,0.322094048,0.499362103,-0.643836565,2.176428751,1.291103123,0.80296035,0.597655995,0.331218943,0.336269203,0.662429174,0.30753169,-0.564364554,0.932006647,0.298026766,-0.43529972,1.446941746,-1.599091808,-1.295050355,-2.310898545,-0.251751897,-1.315901456,-0.918061451,-0.880495506
Nm. Castellii,-0.810710487,1.066382336,-0.6382437,0.316623793,4.364357808,-0.927426034,-0.577350269,-1.58113883,-0.398409537,-0.410882531,-0.785573532,-1.081124955,0.183124385,-0.554776278,-1.033561444,-0.101560795,-1.139269548,-0.870715432,-0.218217892,-0.218217892,4.364357808,4.364357808,-0.234122387,-0.732114159,0.180187493,-0.218217892,4.364357808,-0.316623792,-0.577350269,-0.545544725,-0.93048421,-0.91135327,-0.218217892,1.154700539,-0.316623792,1.185621208,-0.765559002,-0.218217892,-0.398409537,-0.627952163,1.615321294,-0.210468023,-0.911353271,0.916909208,0.135988359,0.531212715,-0.218217892,0.569398623,-0.732114159,-0.218217892,3.007926036,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,-1.345651122,-0.791559483,-0.398409537,-0.765559002,-0.61141784,-0.218217892,0.221723521,-0.419035466,-1.8647316,-0.399696214,0.401609664,-0.694696276,-0.123450396,-0.630022828,-1.054092553,-0.218217892,-0.1983799,3.070763752,1.620083922,2.024847042,-0.327912918,-0.857742351,0.678092732,-0.223851977,-0.643836565,0.72547625,1.788592399,-0.883256387,0.261474498,-0.554038958,0.081028724,1.394587735,-0.396438955,-3.29936201,0.566541866,0.800572203,-4.082262008,1.416314161,2.593776818,-1.089669668,-0.614588742,-0.959548871,0.020060652,1.614943746,2.306129622
S. arboricola,-0.810710487,-0.053319117,-0.6382437,-0.514513664,-0.218217892,-0.927426034,-0.577350269,-1.58113883,-0.398409537,-0.62659586,-0.785573532,-1.081124955,-0.585998034,-0.714369454,-0.861301203,-0.457023579,0.103569959,2.453834397,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,-1.081124955,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,1.023532631,0.364541309,-0.218217892,-0.577350269,-0.316623792,0.228004078,1.244033378,-0.218217892,-0.398409537,-0.240099356,-0.080766065,-0.526170056,-0.273405981,-0.286534127,-1.291889418,-1.328031789,-0.218217892,-0.925272762,-0.732114159,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,4.364357808,0.316623792,0.870715432,-0.398409537,1.244033378,-1.528544601,-0.218217892,-0.868023998,-0.581993703,1.035962002,-0.399696214,-0.803219329,-1.037957966,-0.447507685,-0.79540382,-1.405456738,-0.218217892,-1.031575481,-0.934580272,-1.296067138,0.047089466,-0.819782295,-0.276691081,-1.10190069,-0.947066057,-0.643836565,-0.72547625,-1.196343261,-1.365032598,-0.859130494,-0.849124926,-1.195173676,-1.534046508,-1.008587342,-0.260475948,-1.926067858,1.189268178,0.194646216,-1.395299506,-0.252322336,-1.485203172,0.207908839,0.738399712,0.381370295,-0.503164742,-0.501337498
S. eubayanus,-0.810710487,-0.053319117,-1.382861351,-0.514513664,-0.218217892,-0.927426034,-0.577350269,0,-0.398409537,-0.842309188,-0.30036635,-0.24024999,-0.585998034,-1.352742158,-1.205821685,0.253901988,-1.605334363,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,-1.081124955,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,1.023532631,0.364541309,-0.218217892,-0.577350269,-0.316623792,0.228004078,1.244033378,-0.218217892,-0.398409537,-1.403657776,-0.080766065,-1.473276157,-0.911353271,-0.286534127,-1.291889418,-1.328031789,-0.218217892,-0.925272762,-0.732114159,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,0.870715432,-0.398409537,1.244033378,-1.222835681,-0.218217892,-1.660567648,-0.419035466,-0.172660332,-0.399696214,-0.803219329,-1.037957966,-0.771564974,-0.79540382,-1.054092553,-0.218217892,-1.031575481,-0.934580272,-0.810041961,0.047089466,-0.819782295,-0.857742351,-0.745902006,-1.308673097,-0.643836565,-0.72547625,-1.196343261,-1.124144492,-0.971190993,-1.481451998,-1.025013356,-1.167967228,-1.345268955,0.043412658,-0.935213981,1.270653163,0.38929243,0.004259297,-0.252322336,-0.747042959,0.461731718,0.399006963,-0.110208235,-1.064580046,-1.014393165
S. kudriavzevii,-0.810710487,-0.613169843,-1.010552526,-0.514513664,-0.218217892,-0.927426034,-0.577350269,0,-0.398409537,-0.842309188,-0.30036635,-0.24024999,-0.585998034,-1.193148982,-1.033561444,-0.812486363,-0.207139917,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,-1.081124955,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,1.023532631,0.364541309,-0.218217892,-0.577350269,-0.316623792,0.228004078,1.244033378,-0.218217892,-0.398409537,0.14775345,-0.080766065,-0.84187209,-0.273405981,-0.286534127,-1.291889418,-1.328031789,-0.218217892,-0.925272762,-0.732114159,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,0.870715432,-0.398409537,1.244033378,-1.222835681,-0.218217892,-1.06615991,-0.74495194,1.277686469,-0.399696214,-0.803219329,-1.037957966,-0.609536329,-0.630022828,-1.054092553,-0.218217892,-1.031575481,-0.934580272,-1.296067138,0.047089466,-0.819782295,-0.857742351,-1.10190069,-0.947066057,-0.643836565,-0.72547625,-1.196343261,-1.124144492,-0.971190993,-0.891280064,-1.195173676,-1.534046508,-1.008587342,0.043412658,-1.68682654,1.002564746,0.38929243,-0.814087367,-0.252322336,-0.747042959,0.520656505,0.7831617,1.113250411,-0.517876474,-0.51478198
S. paradoxus,-0.810710487,-0.613169843,-1.010552526,-0.514513664,-0.218217892,-0.927426034,-0.577350269,0,-0.398409537,-0.842309188,-0.30036635,-0.24024999,-0.585998034,-1.193148982,-1.033561444,-0.457023579,-0.207139917,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,-1.081124955,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,1.023532631,0.364541309,-0.218217892,-0.577350269,-0.316623792,0.228004078,1.244033378,-0.218217892,-0.398409537,-0.627952163,-0.080766065,-1.473276157,-0.911353271,-0.286534127,-1.291889418,-1.328031789,-0.218217892,-0.925272762,-0.732114159,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,0.870715432,-0.398409537,1.244033378,-1.222835681,-0.218217892,-1.165227867,-0.581993703,0.552513068,-0.399696214,-0.803219329,-1.037957966,-0.771564974,-0.79540382,-1.054092553,-0.218217892,-1.031575481,-0.934580272,-1.296067138,-0.447349928,-0.819782295,-0.857742351,-0.745902006,-0.585459017,-0.643836565,-0.72547625,-1.196343261,-1.124144492,-0.859130494,-1.144210893,-1.110093516,-1.534046508,-1.131017019,0.043412658,-1.32835236,1.257960899,0.38929243,-0.541910008,-0.252322336,-0.747042959,0.503062363,0.64782185,0.680191253,-0.549077846,-0.543295703
S. pastorianus,-0.810710487,-0.053319117,-1.382861351,-0.514513664,-0.218217892,-0.927426034,-0.577350269,0,-0.398409537,-0.842309188,-0.30036635,-0.24024999,-0.585998034,-1.352742158,-1.205821685,0.253901988,-1.605334363,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,-1.081124955,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,1.023532631,0.364541309,-0.218217892,-0.577350269,-0.316623792,0.228004078,1.244033378,-0.218217892,-0.398409537,-1.403657776,-0.080766065,-1.473276157,-0.911353271,-0.286534127,-1.291889418,-1.328031789,-0.218217892,-0.925272762,-0.732114159,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,0.870715432,-0.398409537,1.244033378,-1.222835681,-0.218217892,-1.660567648,-0.419035466,-0.172660332,-0.399696214,-0.803219329,-1.037957966,-0.771564974,-0.79540382,-1.054092553,-0.218217892,-1.031575481,-0.934580272,-0.810041961,0.047089466,-0.819782295,-0.857742351,-0.745902006,-1.308673097,-0.643836565,-0.72547625,-1.196343261,-1.124144492,-0.971190993,-1.481451998,-1.025013356,-1.167967228,-1.345268955,0.043412658,-0.935213981,1.270653163,0.38929243,0.004259297,-0.252322336,-0.747042959,0.461731718,0.399006963,-0.110208235,-1.064580046,-1.014393165
Y. lipolytica,0.737009534,0.50653161,-0.265934875,3.641173625,-0.218217892,1.363861813,1.154700539,-1.58113883,3.784890594,1.09911077,3.581291102,2.282374905,3.259614063,1.679528185,-0.516780722,3.453067042,1.03569959,-0.870715432,-0.218217892,-0.218217892,-0.218217892,-0.218217892,2.224162679,2.762067051,1.441499941,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,-0.93048421,-0.91135327,-0.218217892,1.154700539,-0.316623792,-0.729613051,-0.765559002,-0.218217892,2.390457217,1.311311869,-0.080766065,1.052340112,-0.273405981,-0.286534127,0.135988359,0.531212715,-0.218217892,-0.925272762,2.762067051,-0.218217892,-0.316623792,-0.690065558,-0.218217892,2.01186954,-0.298807152,-0.218217892,-1.345651122,0.870715432,-0.398409537,-0.765559002,2.139962442,4.364357808,1.311471041,3.491962218,0.069064134,3.669937967,0.401609664,1.021612171,1.010750116,3.50450198,2.108185107,-0.218217892,2.301206842,0.667557338,1.134058745,0.047089466,0.655825836,2.047514,2.10208747,2.669004342,0.585305968,0.72547625,1.788592399,1.766512772,3.511228972,2.017424469,3.058834323,1.394587735,2.817340075,0.043412658,1.410216906,0.217058419,0.003539022,-0.703817888,-0.69819134,1.362066473,-1.449998179,2.351193315,0.891617082,0.422293789,0.344403152
Z. parabailii,-0.294803813,-0.053319117,0.10637395,1.147761251,-0.218217892,0.21821789,-0.577350269,0,-0.398409537,-0.195169202,1.155255194,-0.24024999,1.721369224,1.041155481,0.172260241,-0.101560795,0.103569959,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,0.995020146,1.364394567,1.441499941,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,-0.93048421,-0.91135327,-0.218217892,-0.577350269,3.007926036,1.185621208,1.244033378,-0.218217892,-0.398409537,-0.627952163,-0.080766065,0.736638079,1.002488597,-1.489977463,0.135988359,0.531212715,4.364357808,0.569398623,1.364394567,-0.218217892,-0.316623792,1.380131118,-0.218217892,-0.47338107,-0.298807152,-0.218217892,-1.345651122,-0.791559483,-0.398409537,-0.765559002,0.917126761,-0.218217892,0.221723521,0.232797481,-0.414384799,0.872064467,-0.803219329,-0.351434587,0.524664183,0.858406103,1.054092553,4.364357808,0.21821789,-0.133511467,1.620083922,-1.436228716,0.163956459,1.46646273,0.322094048,0.860969143,-0.643836565,0,0.047379931,0.80296035,0.709716494,0.246908666,0.421349363,1.028508455,0.30753169,0.955078477,0.785931435,0.506287245,0.403448518,0.09773631,-0.252322336,0.959212308,0.682411624,-0.191249165,-0.029692923,0.800920267,0.690415202
E. neolycopersici,-0.810710487,-0.613169843,-1.755170176,-0.514513664,-0.218217892,-0.927426034,-0.577350269,0,-0.398409537,-1.058022517,-0.30036635,-1.081124955,-0.585998034,-1.512335334,-1.378081925,-1.167949147,-2.692818931,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-2.828622884,-1.081124955,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,-0.93048421,0.364541309,-0.218217892,-0.577350269,-0.316623792,0.228004078,-0.765559002,-0.218217892,-0.398409537,-1.403657776,-0.080766065,-1.788978191,-1.54930056,-1.489977463,-1.291889418,-1.328031789,-0.218217892,-0.925272762,-2.828622884,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,0.870715432,-0.398409537,1.244033378,-1.834253521,-0.218217892,-2.056839473,-1.23382665,-2.589905001,-1.925809032,-1.204828993,-1.209588811,-1.581708197,-0.79540382,-1.405456738,-0.218217892,-1.031575481,-0.934580272,-1.296067138,-1.93066811,-2.787259802,-3.181947432,-1.10190069,-2.031887177,-0.643836565,-1.4509525,-1.196343261,-2.328585019,-2.876219478,-2.366709899,-1.875814956,-1.900125789,-2.324706373,-1.476030373,-4.92922869,-1.534121886,-1.164338276,4.802746622,-0.252322336,0.688868937,-1.437385102,-0.583379841,-1.0793275,-0.903622487,-0.867300296
