Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CtBP_PxDLS_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PCNA_PIPBox_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,D_homorep,N_homorep,P_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
N. delphensis,-0.506952581,-0.457628762,-0.111187398,-0.847724793,1.231867917,0.336146323,0.621579794,0.064348946,-0.70065542,-0.580761224,-1.017446159,-1.322388521,-1.3141021,-0.091865445,0.664779991,-0.874346912,-0.489857945,0.100925183,-0.473381068,-0.21821789,-0.21821789,-0.514791562,0.554221104,-0.21821789,-0.791559484,-0.316623793,0.925272763,0.309848583,-0.401480176,0.418413704,-0.21821789,-0.21821789,0.316623793,-0.21821789,0.770720961,1.745743122,0.372193684,-0.252312957,-0.545544726,-0.698782522,-0.443896762,-0.433225339,-0.316623793,-1.034452008,-1.023532631,-0.473381068,-0.473381068,-0.10231337,1.018854704,-0.21821789,0.451263453,0.124460972,1.118033989,-0.485528433,-1.578150527,-0.473381068,1.223300426,-0.390982851,0.574169252,1.512200212,0.059172634,1.640435888,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,1.413661459,-0.21821789,-0.234122387,-1.309307341,-0.577350269,-0.916909208,-0.039692386,-0.21821789,0.237024812,-0.825941817,-0.205427395,-0.698500303,-0.69654519,-0.031013551,-0.327193591,-0.379825445,0.152583756,0.152409986,0.642095481,0.934245342,1.296067138,-0.640467,1.20124995,0.836660027,-0.134934365,-0.05247078,1.231867917,-0.21821789,0.944720197,1.043055918,-0.152216479,-0.17725333,0.392679102,0.689667667,-0.024718035,-0.247920379,0.330429251,-0.455350737,-0.734245945,1.251467616,0.060297214,-0.908723974,-0.343375315,-0.617543874,-1.145305871,0.621222881,0.621222881
N. nivariensis,-0.053931126,-0.457628762,0.407687124,-0.324130068,0.107118949,-0.168073161,0.621579794,1.415676795,0.280262168,-0.483193338,-0.712212312,0.292155604,0.021195195,0.434273013,1.049010628,-0.874346912,0.048416192,1.160639603,-0.473381068,-0.21821789,-0.21821789,-0.514791562,1.449501349,-0.21821789,-0.791559484,-0.316623793,-0.569398623,0.309848583,-0.16059207,1.00419289,-0.21821789,-0.21821789,-0.514513664,-0.21821789,-0.700655419,-0.545544726,0.372193684,-0.252312957,-0.545544726,-0.698782522,1.109741904,-0.433225339,-0.316623793,1.137897209,-1.023532631,-0.473381068,0.769244236,0.112544705,-0.137683068,-0.21821789,0.611882648,0.414869907,0,-0.485528433,0.333839535,-0.473381068,0.850991601,-0.149493443,-0.765559002,2.187864137,0.059172634,0.364541309,4.364357805,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.21821789,-0.577350269,0.286534128,0.099230963,-0.21821789,0.402942181,-0.32215158,-0.316042146,-0.914213632,-0.69654519,-0.031013551,-0.270873383,-0.145227376,0.152583756,0.152409986,0.531570849,0.791039852,0.567029373,0.1067445,0.96099996,0.358568583,1.390861918,-0.493225326,1.231867917,0,0.791522327,0.848352146,-0.030828655,-0.083525849,0.494484795,0.435579579,0.046528066,-0.247920379,0.788625855,-0.431233228,-0.737891999,0.829719273,0.057804253,-0.742381069,-0.879185655,-0.244601606,-1.61137158,0.024885391,0.024885391
Nk. Castellii ncbi,-0.053931126,0.228814381,0.407687124,0.199464657,-1.017630019,1.344585291,0.621579794,0.064348946,-0.70065542,-0.288057567,-0.101744616,-0.353662046,0.021195195,0.258893527,-0.48791192,-0.37358459,-0.848707371,-0.958789238,-0.473381068,-0.21821789,-0.21821789,0.836536288,-1.236339386,-0.21821789,0.316623793,3.007926037,2.419944149,-0.991515466,-0.642368281,-1.338923854,-0.21821789,-0.21821789,-0.514513664,-0.21821789,-0.700655419,-0.545544726,-1.581823158,0.807401463,1.745743122,0.635256839,1.109741904,1.220907772,-0.316623793,0.0517226,0.93048421,-0.473381068,-1.716006373,0.112544705,-0.715951954,-0.21821789,0.130025063,-0.165947963,0.559016994,0.534081277,0.971169555,-0.473381068,0.478682775,-0.632472259,0.574169252,0.160872363,2.544423243,-0.91135327,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,0.995020146,0.21821789,-0.577350269,-0.916909208,1.210617749,-0.21821789,0.568859549,-0.825941817,-0.75850115,0.164353012,-0.46436346,-0.09022124,0.123368075,0.402168118,0.152583756,0.152409986,1.7473418,0.21821789,0.081004196,2.348378998,1.561624935,0.597614305,-0.352905263,0.608661039,1.231867917,1.745743122,1.327714872,1.335111575,0.818886113,0.117318751,0.66416095,1.197843842,0.280622398,-0.554174965,0.901134228,0.449858297,-0.838158501,0.836704753,-1.085195526,-1.142501781,1.546394955,-1.313181332,-0.189208653,-2.00106266,-2.00106266
Nm. Castellii ncbi,-0.733463308,0.686443143,-0.370624659,-0.324130068,0.107118949,-1.680731614,0.621579794,-1.286978904,-0.210196626,-0.190489681,-1.017446159,0.292155604,-0.869003002,-0.705693647,-0.744065678,-0.707426138,-1.087940321,0.100925183,2.01186954,-0.21821789,-0.21821789,-0.514791562,0.554221104,-0.21821789,1.42480707,-0.316623793,-0.569398623,0.309848583,-1.365032597,-0.753144668,4.364357805,-0.21821789,2.810036167,-0.21821789,-0.700655419,-0.545544726,0.372193684,-1.312027377,-0.545544726,0.635256839,-0.443896762,0.393841217,-0.316623793,-1.034452008,-1.023532631,-0.473381068,-0.473381068,-0.746887592,1.018854704,-0.21821789,-0.673070912,-0.165947963,0.559016994,0.534081277,0.971169555,-0.473381068,0.850991601,-1.356940482,-0.765559002,1.512200212,0.059172634,-2.187247849,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-1.46326492,-1.309307341,1.154700538,-0.916909208,-0.456462431,-0.21821789,-0.136289267,-0.610031715,-1.643419158,-1.022070296,-0.69654519,-0.623090443,0.010727659,-1.240018365,-0.488268024,-1.447894864,-1.236823262,0.934245342,1.296067138,1.040758874,0.48049998,-0.478091444,-0.134934365,-0.933979872,-2.142378987,-0.21821789,-0.357461697,0.166888946,-0.516379951,-0.686059651,-0.38783121,0.308535535,-0.727001031,0.977097964,-1.338395766,0.325969692,1.469794053,0.77220966,1.941213044,-0.810001248,-0.645828827,-0.942925402,0.11435383,1.476306499,1.476306499
S. arboricola,-0.733463308,-0.686443143,-0.88949918,-0.847724793,1.231867917,-0.168073161,-0.683737774,0.064348946,-0.70065542,-0.971032766,-0.101744616,-0.353662046,-0.869003002,-0.881073133,-1.000219436,-0.540505364,-0.489857945,0.100925183,2.01186954,-0.21821789,-0.21821789,-0.514791562,1.449501349,-0.21821789,1.42480707,-0.316623793,-0.569398623,-0.991515466,-0.883256386,-0.753144668,-0.21821789,-0.21821789,0.316623793,-0.21821789,-0.700655419,-0.545544726,0.372193684,-0.252312957,-0.545544726,-0.698782522,-0.443896762,-0.433225339,-0.316623793,0.0517226,0.93048421,-0.473381068,-0.473381068,-1.176603741,-0.137683068,-0.21821789,-0.833690107,-1.037174767,-1.118033989,0.534081277,-0.303490486,-0.473381068,-1.010552526,-0.873961667,-0.765559002,-0.514791562,1.301797938,0.364541309,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,4.364357805,-0.234122387,1.745743122,-0.577350269,0.286534128,-0.873232476,-0.21821789,-1.214752163,-0.825941817,0.126416858,-0.590643639,-0.69654519,-1.096751956,-0.946715882,-0.692622871,-0.274650764,0.152409986,-1.236823262,-0.211398582,-1.377071334,-0.453664125,-0.840874965,-1.075705748,-1.006817956,-0.272848053,0.107118949,-1.091089451,-0.970253176,-0.80662991,-0.921006031,-1.047579932,-1.100471061,-1.343037035,-1.011985435,0.670843379,-0.531859643,1.360251156,0.437960605,0.753752182,1.187834912,0.636009234,-0.870771891,0.70977,-0.122345207,-0.698126846,-0.698126846
S. eubayanus,-0.959974036,-0.457628762,-1.667810963,-0.847724793,-1.017630019,-0.672292645,-1.336396559,-1.286978904,-0.70065542,-1.166168537,-1.017446159,-1.322388521,-0.869003002,-1.582591077,-1.76868071,-0.540505364,-1.446789746,0.100925183,-0.473381068,-0.21821789,-0.21821789,-0.514791562,-0.341059141,-0.21821789,0.316623793,-0.316623793,-0.569398623,-0.991515466,-1.124144492,-1.338923854,-0.21821789,-0.21821789,0.316623793,-0.21821789,-0.700655419,-0.545544726,0.372193684,-0.252312957,-0.545544726,-0.698782522,-0.443896762,-1.260291894,-0.316623793,0.0517226,0.93048421,-0.473381068,-0.473381068,-1.391461815,-1.29422084,-0.21821789,-1.797405277,-1.327583702,-1.118033989,-2.524747853,-0.940820506,-0.473381068,-1.382861351,-1.115451075,-0.765559002,-0.514791562,-1.18345267,-0.91135327,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.21821789,-0.577350269,0.286534128,-2.26246596,-0.21821789,-1.753983611,-0.897911851,-1.311574905,-1.345640289,-0.580454325,-1.274375024,-1.115676507,-1.083619652,-2.197206104,0.152409986,-0.57367547,-1.929864467,-1.134058746,-1.387678499,-1.561624935,-2.151411497,-0.788847058,-1.374734418,-1.017630019,-1.309307341,-1.429846785,-2.266908196,-1.932571232,-1.529606973,-1.847046142,-1.470081078,-1.64302233,-0.707302258,-0.967518838,0.562261867,-1.056921776,0.753752182,-1.406917793,-0.050512942,0.093530231,1.246718174,-0.042469811,-0.793563289,-0.793563289
S. kudriavzevii,-0.733463308,-0.915257524,-0.630061919,-0.324130068,-1.017630019,-0.168073161,-1.336396559,1.415676795,-0.70065542,-0.87346488,0.203489232,-0.030753221,-0.423903903,-0.705693647,-0.744065678,-1.041267686,-0.609474421,1.160639603,-0.473381068,-0.21821789,-0.21821789,-0.514791562,1.449501349,-0.21821789,1.42480707,-0.316623793,-0.569398623,0.309848583,-1.124144492,-0.753144668,-0.21821789,-0.21821789,0.316623793,-0.21821789,-0.700655419,-0.545544726,0.372193684,-0.252312957,-0.545544726,-0.698782522,-0.443896762,-0.433225339,-0.316623793,0.0517226,-1.023532631,-0.473381068,-0.473381068,-0.532029518,-0.715951954,-0.21821789,-0.994309302,-0.746765832,-1.118033989,0.534081277,-0.303490486,-0.473381068,-1.382861351,-1.115451075,-0.765559002,-0.514791562,1.301797938,1.640435888,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.21821789,-0.577350269,0.286534128,-0.734309128,-0.21821789,-1.214752163,-1.041851918,-0.205427395,-0.37493031,-0.69654519,-0.978336578,-1.003036091,-0.614423514,-0.061033504,0.152409986,-0.684200102,-0.927426034,-1.134058746,-0.640467,-1.20124995,-0.836660027,-1.006817956,-0.713602599,0.107118949,-1.091089451,-0.970253176,-1.001333682,-0.880543423,-1.060969572,-1.270147216,-1.215992991,-1.042519478,0.364588793,-0.151804463,1.599012018,-0.203745003,0.662399347,-0.1173267,1.25339155,-1.333313383,0.732015529,0.102504475,-0.879585217,-0.879585217
S. paradoxus,-0.506952581,-0.457628762,-1.408373702,-0.847724793,-1.017630019,-0.168073161,-1.336396559,1.415676795,-0.70065542,-0.483193338,-0.406978464,-0.676570871,-0.869003002,-1.319521848,-1.256373194,-0.206663816,-0.908515608,-0.958789238,-0.473381068,-0.21821789,-0.21821789,-0.514791562,0.554221104,-0.21821789,1.42480707,-0.316623793,-0.569398623,-0.991515466,-0.642368281,-0.753144668,-0.21821789,-0.21821789,0.316623793,-0.21821789,-0.700655419,-0.545544726,0.372193684,-0.252312957,-0.545544726,-0.698782522,-0.443896762,-0.433225339,-0.316623793,0.0517226,0.93048421,-0.473381068,-0.473381068,-1.176603741,-0.715951954,-0.21821789,-1.315547692,-0.456356897,-1.118033989,-0.485528433,-0.940820506,-0.473381068,-1.010552526,-0.632472259,-0.765559002,-0.514791562,0.059172634,0.364541309,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.21821789,-0.577350269,0.286534128,-1.012155824,-0.21821789,-1.297710847,-0.825941817,-0.537271648,-0.482786974,-0.812636055,-0.919128889,-0.665114841,-0.692622871,-0.488268024,0.152409986,-1.015773998,-0.784220544,-1.377071334,-0.827269875,-0.96099996,-0.956182888,-1.224788854,-0.272848053,0.107118949,-1.091089451,-1.123451046,-1.001333682,-0.961468639,-1.060969572,-1.236211985,-1.343037035,-1.103587565,0.670843379,-0.209695773,0.97187551,0.417907305,0.523915437,0.412891121,0.636009234,-0.695262715,0.096410499,-0.068513507,-0.71489776,-0.71489776
S. pastorianus,-0.733463308,-0.457628762,-1.408373702,-0.324130068,-1.017630019,0.336146323,-1.336396559,0.064348946,-0.210196626,-1.068600652,0.50872308,-0.030753221,0.021195195,-0.968762876,-1.256373194,0.46101928,-1.087940321,-0.958789238,-0.473381068,-0.21821789,-0.21821789,-0.514791562,1.449501349,-0.21821789,1.42480707,-0.316623793,-0.569398623,-0.991515466,-1.124144492,-0.753144668,-0.21821789,-0.21821789,0.316623793,-0.21821789,-0.700655419,-0.545544726,0.372193684,-0.252312957,-0.545544726,-0.698782522,-0.443896762,-0.433225339,-0.316623793,0.0517226,0.93048421,-0.473381068,-0.473381068,-1.391461815,-0.715951954,-0.21821789,-1.476166887,-1.327583702,-1.118033989,-0.485528433,-0.303490486,-0.473381068,-1.382861351,-1.115451075,-0.765559002,-0.514791562,0.059172634,1.640435888,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.21821789,-0.577350269,1.489977463,-1.012155824,-0.21821789,-1.505107558,-0.538061682,-0.979730652,-0.37493031,0.116090865,-1.096751956,-1.003036091,-0.692622871,-0.488268024,1.752714835,-0.021052311,-1.357042505,-1.134058746,-0.827269875,-1.081124955,-1.31475147,-1.006817956,-0.493225326,0.107118949,-1.091089451,-0.740456371,-1.098685568,-1.042393856,-1.181476332,-0.964730137,-1.215992991,-1.052697493,-0.247920379,0.490577422,0.520360992,-0.519128724,0.938800227,-1.212750556,0.79381789,-1.46380765,1.019750688,-0.855920672,-0.892262655,-0.892262655
Y. lipolytica,1.531643967,0,1.704873428,3.341033007,0.107118949,0.336146323,0.621579794,-1.286978904,1.751638549,1.760868031,2.950593863,0.937973254,2.246690688,2.275757617,1.049010628,2.797910116,1.364197418,-0.958789238,-0.473381068,-0.21821789,-0.21821789,0.836536288,-0.341059141,-0.21821789,-0.791559484,-0.316623793,0.925272763,1.611212631,2.248288983,2.175751262,-0.21821789,-0.21821789,1.147761251,4.364357805,-0.700655419,-0.545544726,2.326210526,0.807401463,-0.545544726,1.9692962,2.66338057,-1.260291894,3.007926037,0.0517226,0.93048421,-0.473381068,0.769244236,1.40169315,-1.29422084,-0.21821789,1.093740233,-0.165947963,0,2.573300696,2.245829596,-0.473381068,-0.265934875,2.265400636,1.913897506,-0.514791562,-1.18345267,0.364541309,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,2.187864137,1.413661459,-0.21821789,-1.46326492,0.21821789,-0.577350269,0.286534128,1.210617749,4.364357805,1.56436376,2.052859536,0.790105364,3.07648295,1.044817785,1.863632502,0.799210575,2.826348165,1.220670056,-1.447894864,0.531570849,-0.211398582,0.810041961,0.480350249,0.840874965,1.195228609,2.916658201,2.371679223,1.231867917,0.654653671,0.255329783,1.237759689,2.639703473,1.804413396,1.512541724,0.943755754,1.980350809,1.436479843,0.837979222,0.547168475,1.943781149,-1.745947125,-0.612072278,-0.050512942,1.102645138,0.384745388,0.777357959,2.06701643,2.06701643
Z. parabailii,-0.053931126,-0.457628762,-0.370624659,0.723059382,0.107118949,-0.168073161,-1.336396559,-1.286978904,-0.210196626,-0.288057567,0.50872308,0.615064429,0.466294294,0.34658327,-0.103681283,-0.707426138,-0.190816758,0.100925183,-0.473381068,-0.21821789,-0.21821789,-0.514791562,0.554221104,-0.21821789,-0.791559484,-0.316623793,-0.569398623,0.309848583,0.32118414,1.00419289,-0.21821789,-0.21821789,-1.345651122,-0.21821789,-0.700655419,-0.545544726,-1.581823158,-1.312027377,-0.545544726,-0.698782522,2.66338057,1.220907772,-0.316623793,1.137897209,-1.023532631,-0.473381068,2.01186954,-0.746887592,1.59712359,-0.21821789,0.451263453,-0.456356897,1.118033989,-1.505138143,1.608499575,2.01186954,-0.6382437,0.091995965,-0.765559002,0.836536288,0.059172634,-0.91135327,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-1.46326492,0.21821789,-0.577350269,-0.916909208,0.793847704,-0.21821789,-0.177768609,0.181638656,-0.094812644,0.164353012,-1.044817785,0.146609516,-0.608794633,-0.145227376,1.647904576,1.752714835,-0.463150838,-0.211398582,-0.162008392,-1.200875624,-0.72074997,-0.358568583,0.30100743,1.049415585,0.107118949,-0.43643578,-0.434060631,0.166888946,-0.071291263,-0.31114973,-0.0484789,-0.326684684,-0.136676194,1.130225257,0.553541977,0.427554784,1.692203383,-0.026002001,0.252079927,1.590230115,0.97597805,-1.825039282,0.751889225,0.590483686,0.590483686
