target_name,Acc_number,target_length,query_name,query_length,E_value,seq_score,bias,domain_score,hmm_coord_start,hmm_coord_to,evn_coord_start,env_coord_end,acc,target_description
HLH,PF00010.30,53,yHMPu5000026142_Citeromyces_matritensis,233,7.1e-13,48.4,4.4,47.2,130,178,130,178,0.97,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034974_Deakozyma_indianensis,393,5.5e-17,61.5,0.2,60.5,222,283,222,283,0.97,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Alloascoidea_hylecoeti,793,8.5e-09,35.3,4.1,1.1,80,98,79,111,0.84,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Alloascoidea_hylecoeti,793,8.5e-09,35.3,4.1,-3.6,167,175,167,176,0.88,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Alloascoidea_hylecoeti,793,8.5e-09,35.3,4.1,34.6,597,652,597,652,0.94,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Alloascoidea_hylecoeti,557,9.7e-10,38.3,0.2,37.2,455,509,455,510,0.89,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035244_Candida_incommunis,553,2.6e-11,43.3,0.6,40.4,461,511,461,511,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035244_Candida_incommunis,553,2.6e-11,43.3,0.6,0.6,516,533,515,534,0.82,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035302_Candida_fragi,574,2.6e-10,40.2,0.2,38.9,512,565,512,566,0.91,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Lachancea_waltii,479,1e-11,44.6,0.2,43.8,418,471,418,472,0.91,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034939_Komagataella_pseudopastoris,360,9.7e-12,44.7,0.2,43.7,252,305,252,306,0.93,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035684_Kloeckera_hatyaiensis,258,8.2e-11,41.8,0,40.2,152,217,152,217,0.93,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034950_Citeromyces_hawaiiensis,345,2e-10,40.5,0.4,39.6,283,337,283,337,0.95,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Hanseniaspora_uvarum,231,1.1e-10,41.4,0,39.8,125,190,125,190,0.91,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Ascoidea_rubescens,1028,6.5e-09,35.7,0.1,34.3,831,884,831,885,0.91,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035011_Candida_pyralidae,599,3.7e-10,39.7,0,38.5,533,586,533,587,0.9,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034604_Sporopachydermia_lactativora,502,1.5e-15,56.9,0.3,56.1,165,240,165,240,0.97,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000026274_Komagataella_populi,381,2.6e-12,46.5,0,45.1,315,369,315,369,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Komagataella_pastoris,380,2.2e-12,46.8,0.1,-3.4,109,119,96,121,0.59,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Komagataella_pastoris,380,2.2e-12,46.8,0.1,-2.9,298,311,297,311,0.85,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Komagataella_pastoris,380,2.2e-12,46.8,0.1,46.8,314,368,314,368,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035684_Kloeckera_hatyaiensis,556,1.9e-11,43.8,0.4,42.4,474,527,474,528,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Clavispora_lusitaniae,391,1.4e-09,37.8,0,36.9,323,376,323,377,0.95,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034594_Starmera_quercuum,286,1.6e-05,24.8,2.3,24,215,272,215,272,0.91,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035695_Hanseniaspora_pseudoguilliermondii,421,3.8e-11,42.8,2,-2.2,62,72,58,77,0.82,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035695_Hanseniaspora_pseudoguilliermondii,421,3.8e-11,42.8,2,41.9,340,393,340,394,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034604_Sporopachydermia_lactativora,667,8e-12,45,0.1,43.8,544,600,544,600,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Geotrichum_candidum,636,1.3e-08,34.7,0,33.5,530,580,530,580,0.94,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035271_Wickerhamomyces_bovis,504,2e-11,43.7,0.1,42.7,423,477,423,477,0.94,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034963_Hanseniaspora_clermontiae,229,1.1e-10,41.3,0,39.9,123,188,123,188,0.91,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Komagataella_pastoris,365,1.3e-11,44.3,0.3,43.5,257,310,257,311,0.93,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Clavispora_lusitaniae,259,3e-12,46.4,4.9,46.4,159,207,159,207,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Clavispora_lusitaniae,259,3e-12,46.4,4.9,-2.5,247,254,238,255,0.57,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035244_Candida_incommunis,403,5.4e-17,61.6,0.2,60.5,239,300,239,300,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Ascoidea_asiatica,827,2.8e-10,40,1.9,38.7,672,724,672,726,0.92,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Ascoidea_rubescens,1347,1.1e-09,38.1,0.1,36.7,616,670,616,670,0.91,Helix-loop-helix DNA-binding domain
Arrestin_N,PF00339.33,148,Ascoidea_rubescens,1347,3.9e-05,23.9,0.3,-4.2,685,740,665,745,0.46,"Arrestin (or S-antigen),"
Arrestin_N,PF00339.33,148,Ascoidea_rubescens,1347,3.9e-05,23.9,0.3,23.9,823,956,818,961,0.79,"Arrestin (or S-antigen),"
Arrestin_N,PF00339.33,148,Ascoidea_rubescens,1347,3.9e-05,23.9,0.3,-0.7,988,1020,985,1028,0.78,"Arrestin (or S-antigen),"
HLH,PF00010.30,53,yHMPu5000026142_Citeromyces_matritensis,310,4.1e-10,39.5,0.2,38.8,248,302,248,302,0.95,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Ascoidea_rubescens,526,3.6e-13,49.3,3.8,47.7,414,462,414,462,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034950_Citeromyces_hawaiiensis,233,4e-12,46,3.8,44.8,130,178,130,178,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Geotrichum_candidum,649,4.2e-09,36.3,0.2,35.3,582,633,582,633,0.95,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Ascoidea_asiatica,926,2.1e-09,37.2,0.1,35.7,735,788,735,789,0.9,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Geotrichum_candidum,486,2.8e-07,30.4,0,29.3,398,452,398,455,0.97,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034952_Citeromyces_siamensis,332,0.0001,22.2,0.5,21.4,292,319,292,331,0.89,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035271_Wickerhamomyces_bovis,223,2.3e-08,33.9,0.1,32.5,157,211,157,211,0.92,Helix-loop-helix DNA-binding domain
