Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_MEF2A_6,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NLS_MonoExtN_4,D_homorep,N_homorep,P_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
N. delphensis,-0.122260718,-0.573314742,0.022837837,-0.667827097,-0.574169252,1.581823158,-0.140859043,0.071174828,-0.635256839,-0.264932617,-0.735433403,-1.46326492,-0.936974961,-0.074948871,0.888753243,-0.683569291,-0.389474813,-0.316623793,-0.21821789,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,0.512921691,-0.781366082,0.766408612,-0.21821789,-0.438061245,1.154700538,1.745743122,-1.049958841,0.196494373,-0.473381068,-0.633865691,-0.398409537,-0.845154254,-0.316623793,-0.837707817,-0.845154255,-0.316623793,-0.456435464,0.251432134,0.355035802,-0.21821789,0.284699311,0.367018562,1.447894864,0,-0.885411459,-0.473381068,1.735675591,-0.771308204,2.390457219,1.716006373,-0.071174828,2.453834399,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,1.413661459,-0.21821789,0,-1.049958841,-0.441769206,-0.845154255,0.28612973,-0.21821789,0.382031549,-0.911225438,0.206952328,-0.58597426,-1.14879139,0.437323628,-0.061854356,-0.079917428,0.686232105,-0.473381068,1.173397886,0.136713649,1.455188563,-0.858438752,1.165156399,1.420402711,0.045323342,-0.526693726,1.716006373,-0.605131761,0.780874085,1.146913607,-0.092573547,0.113047111,0.432970422,0.935928609,0.197584052,0.197257461,0.423799819,-0.699574092,0.061365253,1.70201481,-1.013856146,-0.49970725,-0.237935958,-1.328262725,-1.002076178,1.842876259,1.842876259
N. nivariensis,0.611303589,-0.573314742,0.742229694,-0.667827097,-0.574169252,0.279145263,-0.140859043,1.565846215,0.698782523,-0.125842993,-0.735433403,0.585305968,0.072074997,0.480554526,1.445882142,-0.683569291,0.563415022,-0.316623793,-0.21821789,-0.21821789,-0.316623793,0.418853908,-0.765559002,-0.316623793,-0.398409537,0.512921691,-0.03551664,1.3625042,-0.21821789,-0.438061245,-0.577350269,-0.545544726,-1.049958841,0.196494373,-0.473381068,-0.633865691,2.390457219,-0.845154254,-0.316623793,1.675415633,-0.845154255,-0.316623793,0.91287093,0.515435876,0.355035802,-0.21821789,0.711748279,1.067690361,-0.152409985,0,0.857742351,-0.473381068,0.776486449,-0.0179374,-0.398409537,1.716006373,-0.071174828,0.791559484,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,0,0.646128518,-0.441769206,0.633865691,0.473902366,-0.21821789,0.78824231,-0.15444499,-0.127355278,-1.19365127,-0.49084723,0.223746973,0.010309059,-0.079917428,0.686232105,-0.473381068,0.746091142,0.47447678,0.804997928,-0.19890654,0.843205289,0.679323036,0.759165981,0.071174828,1.716006373,-0.134473725,0.69456695,0.918618007,-0.092573547,0.268718542,0.59533433,0.731194225,0.29878564,0,0.522634603,-0.724452897,0.014438883,1.126311929,-0.298251404,-0.243592167,-0.271030427,-1.225908132,-1.617782165,0.828217935,0.828217935
Nk. Castellii,-0.122260718,0.377180751,0.262635122,-0.083478387,-0.574169252,2.233162105,0.845154254,0.071174828,-0.635256839,-0.125842993,-0.358748002,-0.643836565,0.072074997,0.110218928,-0.643351228,-1.28169242,-0.786512245,-0.316623793,-0.21821789,-0.21821789,3.007926037,-0.837707817,1.244033379,3.007926037,2.390457219,-0.56421386,-0.781366082,-1.021878149,-0.21821789,-0.438061245,-0.577350269,-0.545544726,-1.049958841,0.196494373,2.01186954,0.845154255,2.390457219,1.126872339,-0.316623793,0.418853908,-0.845154255,-0.316623793,-1.825741858,0.251432134,-0.473381068,-0.21821789,0.071174827,0.016682662,0.647742439,1.290994449,0.857742351,-0.473381068,0.296891877,-0.771308204,-0.398409537,-0.769244236,2.918167944,-0.870715432,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,1.290994449,0.646128518,-0.441769206,-0.845154255,1.22499291,-0.21821789,0.585136929,-0.911225438,-0.628816687,0.02170275,0.16709693,0.116958645,0.371126132,0.864107191,0.197727895,-0.473381068,2.170446957,0.305595215,0.479902611,2.439222308,1.004180844,0.679323036,0.283270888,0.96797766,-0.769244236,2.689474494,1.471331171,0.804470208,1.073853139,0.443848902,0.635925307,1.345397375,0.486731445,-1.972574608,1.141225803,0.068622186,-2.541243436,1.175229577,-1.495812225,-0.774699853,-0.864494141,-0.858196784,-0.624838288,-1.933624041,-1.933624041
Nm. Castellii ncbi,-0.855825024,0.694012582,-0.456756735,-0.083478387,0.765559002,-1.023532631,0.845154254,-1.423496558,-0.635256839,-0.125842993,-0.735433403,0.175591791,-0.432449982,-0.630452268,-0.782633453,-0.683569291,-1.183549676,3.007926037,-0.21821789,-0.21821789,-0.316623793,0.418853908,1.244033379,-0.316623793,-0.398409537,-0.56421386,-1.527215525,-0.425782562,-0.21821789,3.650510377,-0.577350269,-0.545544726,-1.049958841,-1.178966238,-0.473381068,0.845154255,-0.398409537,1.126872339,-0.316623793,-0.837707817,-0.845154255,-0.316623793,-0.456435464,-0.804582831,1.183452671,-0.21821789,-0.996447592,-0.333653238,1.447894864,1.290994449,0.857742351,-0.473381068,-0.182702694,-1.524679007,-0.398409537,1.716006373,-0.071174828,-0.870715432,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,-1.290994449,-1.049958841,-0.441769206,-0.845154255,-0.464960813,-0.21821789,-0.176508247,-1.019336931,-1.96604711,-0.737893513,0.16709693,-0.630559649,0.082472474,-1.128833671,-0.290776316,-0.473381068,-0.393393511,1.656647742,1.78028388,1.559846025,0.521254179,-0.802836314,0.759165981,-0.526693726,-0.769244236,-0.605131761,0.608259814,0.233731209,-0.037029419,-0.58747433,-0.013530326,0.731194225,-0.52528443,-0.986287304,0.420870844,-0.054911474,-0.41150817,1.848970712,2.007206088,-0.823551647,-1.760042018,-1.021536346,-0.181628055,1.767268842,1.767268842
S. arboricola,-0.855825024,-0.573314742,-0.936351306,-0.667827097,0.765559002,-1.023532631,-0.140859043,0.071174828,-0.635256839,-0.960380738,-0.358748002,-0.234122387,-0.936974961,-0.908203966,-1.061197902,-0.683569291,-0.4688823,-0.316623793,-0.21821789,-0.21821789,-0.316623793,1.675415633,1.244033379,-0.316623793,-0.398409537,-0.56421386,-0.781366082,-1.021878149,-0.21821789,-0.438061245,-0.577350269,-0.545544726,0.646128518,0.196494373,-0.473381068,-0.633865691,-0.398409537,0.140859042,-0.316623793,0.418853908,1.12687234,-0.316623793,-0.456435464,-1.068586572,-0.473381068,-0.21821789,-0.569398624,-1.034325037,-0.95256241,0,-0.885411459,-0.473381068,-1.141891836,-0.771308204,-0.398409537,-0.769244236,1.423496558,-0.870715432,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,4.364357805,0,0.646128518,-0.441769206,0.633865691,-1.403823993,-0.21821789,-1.19203515,-0.911225438,0.541259934,-0.889812765,-0.49084723,-1.271289616,-0.999978745,-0.919050422,-1.267784736,-0.473381068,-1.248007,-1.045457313,-1.470669292,-0.418750611,-0.927525817,-0.988106233,-0.906466843,-0.227759449,-0.769244236,-1.075789798,-1.290497172,-1.250190187,-0.981279593,-1.112865411,-1.393623545,-1.52088399,-1.204780803,0.789029843,-1.596361722,1.470955432,0.897015618,-0.743541403,0.803022949,-0.316815737,0.963583295,1.051325809,-0.280380662,-0.62591914,-0.62591914
S. eubayanus,-0.855825024,-0.256482911,-1.415945878,-0.083478387,-0.574169252,-1.023532631,-1.126872339,0.071174828,-0.635256839,-0.960380738,0.771308204,-0.234122387,0.072074997,-1.000787866,-1.339762352,0.313302591,-1.342364649,-0.316623793,-0.21821789,-0.21821789,-0.316623793,1.675415633,1.244033379,-0.316623793,-0.398409537,-0.56421386,-1.154290803,-1.021878149,-0.21821789,-0.438061245,-0.577350269,-0.545544726,0.646128518,0.196494373,-0.473381068,-0.633865691,-0.398409537,0.140859042,-0.316623793,0.418853908,1.12687234,-0.316623793,-0.456435464,-1.332590313,-1.301797938,-0.21821789,-1.423496559,-1.034325037,-0.95256241,-1.290994449,-0.885411459,-0.473381068,-1.141891836,-1.147993606,-0.398409537,-0.769244236,-0.071174828,0.791559484,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,0,0.646128518,-0.441769206,2.112885637,-1.403823993,-0.21821789,-1.49669322,-0.58689096,-0.963124293,-0.737893513,-0.49084723,-1.164501288,-0.999978745,-0.709267173,-1.267784736,2.01186954,-1.105571418,-1.383220444,-1.145573975,-0.418750611,-1.088501372,-1.173376152,-1.144414389,-1.124562281,-0.769244236,-1.075789798,-1.376804308,-1.364337986,-1.203456105,-1.326913629,-1.353032568,-1.316149607,-1.349354499,0.789029843,-0.804899075,1.251121171,0.868137852,-0.722256186,-0.900608275,-0.060700655,1.072471801,0.392341523,-0.586202202,-0.907508464,-0.907508464
S. kudriavzevii,-0.855825024,-0.890146573,-0.69655402,-0.667827097,-0.574169252,-1.023532631,-1.126872339,1.565846215,-0.635256839,-1.099470362,0.0179374,0.175591791,-0.936974961,-0.908203966,-0.782633453,-1.082318044,-0.548289786,-0.316623793,-0.21821789,-0.21821789,-0.316623793,1.675415633,1.244033379,-0.316623793,-0.398409537,-0.56421386,-1.154290803,-1.021878149,-0.21821789,-0.438061245,-0.577350269,-0.545544726,0.646128518,0.196494373,-0.473381068,-0.633865691,-0.398409537,0.140859042,-0.316623793,0.418853908,-0.845154255,-0.316623793,-0.456435464,-0.276575348,-0.473381068,-0.21821789,-0.782923108,-0.683989137,-0.95256241,0,-0.885411459,-0.473381068,-1.141891836,-1.147993606,-0.398409537,-0.769244236,1.423496558,0.791559484,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,0,0.646128518,-0.441769206,0.633865691,-1.216051357,-0.21821789,-1.141258804,-0.911225438,0.039798525,-0.889812765,-0.71016195,-1.164501288,-0.999978745,-0.814158798,-1.023532631,-0.473381068,-1.248007,-1.214338878,-1.470669292,-0.418750611,-1.249476927,-0.988106233,-1.144414389,-0.825628003,-0.769244236,-1.075789798,-1.376804308,-1.364337986,-1.147911977,-1.13232434,-1.474805499,-1.52088399,-1.248152911,0.789029843,-1.681870003,1.319385509,1.173159254,-0.949534404,0.285079779,0.554837532,1.103383222,0.064037375,0.109880529,-0.643458586,-0.643458586
S. paradoxus,-0.855825024,-0.573314742,-1.415945878,-0.667827097,-0.574169252,-1.023532631,-1.126872339,1.565846215,-0.635256839,-0.960380738,-0.358748002,-0.643836565,-0.936974961,-1.463707363,-1.339762352,-0.284820538,-1.024734704,-0.316623793,-0.21821789,-0.21821789,-0.316623793,0.418853908,1.244033379,-0.316623793,-0.398409537,-0.56421386,-0.408441361,-1.021878149,-0.21821789,-0.438061245,-0.577350269,-0.545544726,0.646128518,0.196494373,-0.473381068,-0.633865691,-0.398409537,0.140859042,-0.316623793,0.418853908,1.12687234,-0.316623793,-0.456435464,-1.068586572,-1.301797938,-0.21821789,-1.209972075,-0.683989137,-0.95256241,-1.290994449,-1.46646273,-0.473381068,-1.141891836,-0.394622802,-0.398409537,-0.769244236,-0.071174828,-0.870715432,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,0,0.646128518,-0.441769206,0.633865691,-1.403823993,-0.21821789,-1.39514053,-0.803113945,-0.461662884,-0.737893513,-0.71016195,-1.164501288,-0.92781533,-1.023942046,-1.267784736,-0.473381068,-1.248007,-1.214338878,-1.470669292,-0.858438752,-0.927525817,-0.988106233,-1.144414389,-0.227759449,-0.769244236,-1.075789798,-1.376804308,-1.250190187,-1.092367849,-1.3074547,-1.393623545,-1.52088399,-1.349354499,0.986287304,-1.493871434,1.227236765,1.050428747,-0.548234385,0.285079779,-0.316815737,1.367271825,-0.008152472,0.13959344,-0.662085916,-0.662085916
S. pastorianus,-0.855825024,-0.256482911,-1.415945878,-0.083478387,-0.574169252,-0.372193684,-1.126872339,0.071174828,-0.635256839,-0.960380738,0.771308204,-0.234122387,0.072074997,-1.000787866,-1.339762352,0.313302591,-1.342364649,-0.316623793,-0.21821789,-0.21821789,-0.316623793,1.675415633,1.244033379,-0.316623793,-0.398409537,-0.56421386,-1.154290803,-1.021878149,-0.21821789,-0.438061245,-0.577350269,-0.545544726,0.646128518,0.196494373,-0.473381068,-0.633865691,-0.398409537,0.140859042,-0.316623793,0.418853908,1.12687234,-0.316623793,-0.456435464,-1.332590313,-1.301797938,-0.21821789,-1.423496559,-1.034325037,-0.95256241,-1.290994449,-0.885411459,-0.473381068,-1.141891836,-1.147993606,-0.398409537,-0.769244236,-0.071174828,0.791559484,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,0,0.646128518,-0.441769206,2.112885637,-1.403823993,-0.21821789,-1.49669322,-0.58689096,-0.963124293,-0.737893513,-0.49084723,-1.164501288,-0.999978745,-0.814158798,-1.267784736,2.01186954,-0.963135837,-1.383220444,-1.145573975,-0.418750611,-1.088501372,-1.173376152,-1.144414389,-1.124562281,-0.769244236,-1.075789798,-1.290497172,-1.364337986,-1.203456105,-1.346372558,-1.312441591,-1.316149607,-1.349354499,0.591772382,-0.766511162,1.165730867,0.732773318,-0.513160225,-1.323798659,-0.060700655,0.767756347,0.738789902,-0.695906875,-0.907508464,-0.907508464
Y. lipolytica,0.978085742,-0.256482911,1.701418837,3.422613871,-0.574169252,0.279145263,1.831167551,-1.423496558,2.699841564,0.847784376,3.031420615,1.404734324,2.594699893,2.517400314,1.306599917,3.104543861,1.516304858,-0.316623793,-0.21821789,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,2.390457219,1.590057241,2.574956408,1.3625042,-0.21821789,1.606224566,-0.577350269,-0.545544726,2.342215876,0.196494373,-0.473381068,2.3241742,-0.398409537,-0.845154254,3.007926037,-0.837707817,-0.845154255,-0.316623793,0.91287093,1.571450841,-0.473381068,-0.21821789,1.138797246,0.016682662,-0.95256241,1.290994449,1.438793621,-0.473381068,-0.662297265,2.618860412,-0.398409537,0.473381068,-1.565846215,0.791559484,-0.316623793,-0.21821789,-0.21821789,-0.21821789,1.274117979,1.413661459,-0.21821789,-1.290994449,0.646128518,-0.441769206,0.633865691,1.22499291,4.364357805,1.600663831,2.872676804,0.039798525,3.0600878,0.38641165,1.29163025,0.515452961,2.961939676,1.174736316,-0.473381068,0.746091142,-0.032167917,0.154807294,1.120157884,0.521254179,1.60567263,2.662746351,2.761583324,0.473381068,0.806842348,0.435645543,0.918618007,3.017897616,1.57246678,1.610108756,0.526459842,1.932468409,0.591772382,0.819204364,0.703370844,0.203949225,-1.339565519,-0.858017705,0.390712821,-0.04959406,0.589044093,0.857876641,0.255606852,0.255606852
Z. parabailii,-0.489042871,-0.256482911,-0.216959449,1.085219032,0.765559002,0.279145263,-1.126872339,-1.423496558,-0.635256839,-0.543111866,0.394622802,0.175591791,1.081124955,0.573138425,-0.225504554,-0.284820538,-0.310067327,-0.316623793,-0.21821789,-0.21821789,-0.316623793,0.418853908,-0.765559002,-0.316623793,-0.398409537,0.512921691,0.710332802,1.3625042,-0.21821789,-0.438061245,-0.577350269,-0.545544726,-1.049958841,-1.178966238,-0.473381068,-0.633865691,2.390457219,1.126872339,-0.316623793,0.418853908,-0.845154255,-0.316623793,2.282177324,-0.540579089,1.183452671,-0.21821789,0.284699311,0.016682662,1.447894864,-1.290994449,1.438793621,2.01186954,-0.662297265,0.358748002,-0.398409537,1.716006373,-0.071174828,-0.870715432,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,-1.290994449,-1.049958841,-0.441769206,-0.845154255,1.037220274,-0.21821789,-0.227284593,0.169889488,0.039798525,0.781299012,-0.92947667,-0.09661801,-0.350508014,0.444540694,1.418988421,2.01186954,0.176348816,0.136713649,0.154807294,-0.858438752,-0.444599152,-0.061756639,0.045323342,0.370109106,0.473381068,-0.134473725,0.176724135,0.347879009,0.129602965,-0.178836823,0.270606514,0.116991076,0.096382465,0.197257461,0.888269567,-0.085017885,0.223802689,0.626560014,-0.072722592,1.573803607,-0.13618604,-0.661854334,0.528007426,0.857002234,0.857002234
