Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_MEF2A_6,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NLS_MonoExtN_4,N_homorep,P_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
N. delphensis,0.084661062,-0.482549895,-0.116681828,-0.691727702,-0.569398623,1.174530445,-0.184840831,-0.059172634,-0.58408166,-0.113733622,-0.832306428,-1.383794453,-0.922531208,-0.162221675,0.509587231,-0.759283114,-0.359597476,-1,-0.316623792,-0.218217892,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,0.300150112,-0.382991678,0.548527807,-0.218217892,-0.438061246,0.925272762,1.274117977,-1.154700539,0.107118949,-0.47338107,-0.633865691,-0.398409537,-0.717137166,-0.316623792,-0.925272762,-0.845154255,-0.316623792,-0.569398623,0.079505425,0.809659535,-0.218217892,0.297508387,0.41239305,-0.218217892,1.239024308,-0.095694875,-0.874371771,-0.47338107,1.175872979,-0.370235493,1.74574312,1.244033379,-0.135988359,2.112885637,-0.316623792,-0.218217892,-0.218217892,-0.398409537,1.274117977,-0.218217892,-0.044451031,-1.012739367,-0.509647192,-0.845154254,0.109526886,-0.218217892,0.280986831,-0.856892969,0.010511491,-0.354024918,-0.490229348,0.610847222,-0.002423283,-0.068494758,0.465462548,-0.545544725,1.078665844,0.285423186,1.080686454,-0.584325907,0.754993583,0.906470201,-0.164565861,0.450623848,1.195228609,-0.536675602,0.756292512,0.699954213,0.146610821,0.148681095,0.351669305,0.569470249,0.218205901,-0.404320381,0.764081144,-0.517741953,-0.084961728,1.570098253,-0.698327527,-0.524050889,-0.60915746,-1.031652777,-0.345994109,1.756047331,1.756047331
N. nivariensis,0.973602212,-0.482549895,0.448776262,-0.691727702,-0.569398623,0.07830203,-0.184840831,1.183452671,0.438061245,0.026760852,-0.832306428,0.455426023,0,0.336313229,0.921176918,-0.759283114,0.359597476,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,0.418853908,-0.765559002,-0.316623792,-0.398409537,0.300150112,-0.061278668,1.072122532,-0.218217892,-0.438061246,-0.569398623,-0.509647192,-1.154700539,0.107118949,-0.47338107,-0.633865691,2.390457217,-0.717137166,-0.316623792,2.064070008,-0.845154255,-0.316623792,0.925272762,0.450530739,0.129545525,-0.218217892,0.453700291,0.659828879,-0.218217892,-0.206504052,-0.095694875,0.699497417,-0.47338107,0.807315776,-0.046279437,-0.545544725,2.248829569,-0.135988359,0.633865691,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,0.506369683,-0.509647192,0.633865691,0.253280923,-0.218217892,0.550954571,-0.22916905,0.010511491,-1.042406704,0.153196671,0.488677777,-0.002423283,0.034247378,0.465462548,-0.545544725,0.703218616,0.570846372,0.540343227,-0.093492145,0.514768353,0.476280953,0.98739517,0.230551737,1.195228609,-0.184482238,0.685072141,0.536631563,0.029693331,0.283780743,0.447579116,0.405650041,0.300242391,-0.601779172,0.777085247,-0.69702819,-0.165316156,1.062232462,-0.017682156,-0.247269199,-0.828538101,-0.698466259,-1.169728051,0.788731712,0.788731712
Nk. Castellii,0.084661062,0.317467036,0.071804202,-0.110676432,-0.569398623,1.722644652,0.785573532,-0.059172634,-0.58408166,0.026760852,-0.443896762,-0.648106263,0,0.003956626,-0.72518183,-1.315502139,-0.719194952,0,-0.316623792,-0.218217892,-0.218217892,3.007926036,-0.837707817,1.244033378,3.007926036,2.390457217,-0.600300225,-0.704704688,-1.022256368,-0.218217892,-0.438061246,-0.569398623,-0.509647192,-1.154700539,0.107118949,2.01186954,0.845154254,2.390457217,0.956182888,-0.316623792,0.569398623,-0.845154255,-0.316623792,-2.064070008,0.079505425,-0.550568484,-0.218217892,-0.01487542,-0.08247861,-0.218217892,0.516260128,0.909101316,0.699497417,-0.47338107,0.070201372,-0.694191549,-0.545544725,-0.765559002,2.719767196,-0.845154254,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,0.889020605,0.506369683,-0.509647192,-0.845154254,0.684543037,-0.218217892,0.319553651,-0.961513622,-0.541341774,-0.078672204,0.153196671,0.244338889,0.201132437,0.753442331,-0.145457045,-0.545544725,1.579262147,0.142711593,0.270171613,1.706231649,0.514768353,0.153639017,0.123424396,0.67069596,-1.195228609,1.928677944,0.969953625,0.291647589,0.575308286,0.253758599,0.255759495,0.897110666,0.241644898,-1.983990706,1.147800915,0.086392408,-2.41360026,0.964402856,-1.282233941,-0.91864616,-0.741051028,-0.440185352,-1.131225469,-1.844859478,-1.844859478
Nm. Castellii,-0.804280089,0.584139347,-0.305167859,-0.110676432,0.925272762,-1.017926385,0.785573532,-1.301797939,-0.58408166,0.026760852,-0.832306428,0.087581927,-0.461265604,-0.577667428,-0.622284408,-0.573876773,-0.89899369,-1,3.007926036,-0.218217892,-0.218217892,-0.316623792,0.418853908,1.244033378,-0.316623792,-0.398409537,-0.600300225,-1.348130708,-0.498661643,-0.218217892,3.650510377,-0.569398623,-0.509647192,0.577350269,-1.017630019,-0.47338107,0.845154254,-0.398409537,0.956182888,-0.316623792,-0.925272762,-0.845154255,-0.316623792,-0.569398623,-0.662545204,0.809659535,-0.218217892,-0.795834939,-0.329914439,-0.218217892,1.239024308,0.909101316,0.699497417,-0.47338107,0.070201372,-1.342103661,-0.545544725,1.244033379,-0.135988359,-0.845154254,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.977922666,-1.012739367,-0.509647192,-0.845154254,-0.321735228,-0.218217892,-0.143248188,-0.856892969,-1.424306999,-0.629377632,0.474909681,-0.610847222,-0.002423283,-1.095916118,-0.349096909,-0.545544725,-0.423123066,1.284404337,1.350858067,1.051786633,0.274543122,-0.491644855,0.699404912,-0.209592487,-1.195228609,-0.184482238,0.400190656,0.046663614,-0.048251663,-0.46677286,-0.063939874,0.569470249,-0.438086017,-0.996696753,0.448127705,-0.006531978,-0.411299099,1.663185686,2.148508291,-0.874027152,-1.774507366,-1.029357873,-0.302606518,1.231861987,1.231861987
S. arboricola,-0.804280089,-0.482549895,-0.870625949,-0.691727702,0.925272762,-1.017926385,-0.184840831,-0.059172634,-0.58408166,-0.816205992,-0.443896762,-0.280262168,-0.922531208,-0.910024031,-0.930976673,-0.759283114,-0.419530389,1,-0.316623792,-0.218217892,-0.218217892,-0.316623792,1.675415632,1.244033378,-0.316623792,-0.398409537,-0.600300225,-0.704704688,-1.022256368,-0.218217892,-0.438061246,-0.569398623,-0.509647192,0.577350269,0.107118949,-0.47338107,-0.633865691,-0.398409537,0.119522861,-0.316623792,0.569398623,1.126872338,-0.316623792,-0.569398623,-0.848057861,-0.550568484,-0.218217892,-0.483451131,-0.824786099,-0.218217892,-0.929268232,-0.095694875,-0.874371771,-0.47338107,-1.035470235,-0.694191549,-0.545544725,-0.765559002,1.291889418,-0.845154254,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,4.364357808,-0.044451031,0.506369683,-0.509647192,0.633865691,-1.184259454,-0.218217892,-0.991718227,-0.856892969,0.231252798,-0.904730347,-0.811942358,-1.343863888,-0.765757232,-0.993173982,-1.163656366,-0.545544725,-1.17401752,-0.998981151,-1.350858067,-0.420714653,-0.806470418,-0.706739479,-0.452556119,-0.209592487,0,-0.888868966,-1.166657506,-1.014933609,-0.710784108,-0.932116094,-1.182887662,-1.232552044,-1.059219439,0.780432363,-1.672147879,1.504515062,0.833374592,-0.933136493,0.538063651,-0.326401374,0.96887802,1.041470423,-0.025753667,-0.839310619,-0.839310619
S. eubayanus,-0.804280089,-0.215877585,-1.24759801,-0.110676432,-0.569398623,-1.017926385,-1.155255194,-0.059172634,-0.58408166,-0.816205992,0.721332238,-0.280262168,0,-0.993113182,-1.136771516,0.167748594,-1.078792428,1,-0.316623792,-0.218217892,-0.218217892,-0.316623792,1.675415632,1.244033378,-0.316623792,-0.398409537,-0.600300225,-1.026417698,-1.022256368,-0.218217892,-0.438061246,-0.569398623,-0.509647192,0.577350269,0.107118949,-0.47338107,-0.633865691,-0.398409537,0.119522861,-0.316623792,0.569398623,1.126872338,-0.316623792,-0.569398623,-1.033570518,-1.230682494,-0.218217892,-1.108218746,-0.824786099,-0.218217892,-0.929268232,-1.100491066,-0.874371771,-0.47338107,-1.035470235,-1.018147605,-0.545544725,-0.765559002,-0.135988359,0.633865691,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,0.506369683,-0.509647192,2.112885637,-1.184259454,-0.218217892,-1.223119147,-0.543031009,-0.762083081,-0.76705399,-0.811942358,-1.221694444,-0.765757232,-0.78768971,-1.163656366,1.74574312,-1.048868445,-1.284404337,-1.080686454,-0.420714653,-0.926583033,-0.814286791,-0.740546377,-0.869808822,0,-0.888868966,-1.237877877,-1.096594934,-0.866674095,-1.097237887,-1.150917726,-1.068731836,-1.176414425,0.780432363,-0.609867348,1.295441174,0.803856639,-0.913139602,-1.188240505,-0.049619687,1.087099755,0.402351662,-0.389486722,-1.09695763,-1.09695763
S. kudriavzevii,-0.804280089,-0.749222206,-0.493653889,-0.691727702,-0.569398623,-1.017926385,-1.155255194,1.183452671,-0.58408166,-0.956700466,-0.055487095,0.087581927,-0.922531208,-0.82693488,-0.622284408,-1.130095798,-0.479463302,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,1.675415632,1.244033378,-0.316623792,-0.398409537,-0.600300225,-1.026417698,-1.022256368,-0.218217892,-0.438061246,-0.569398623,-0.509647192,0.577350269,0.107118949,-0.47338107,-0.633865691,-0.398409537,0.119522861,-0.316623792,0.569398623,-0.845154255,-0.316623792,-0.569398623,-0.29151989,-0.550568484,-0.218217892,-0.639643035,-0.577350269,-0.218217892,-0.929268232,-0.095694875,-0.874371771,-0.47338107,-1.035470235,-1.018147605,-0.545544725,-0.765559002,1.291889418,0.633865691,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,0.506369683,-0.509647192,0.633865691,-1.040505417,-0.218217892,-0.914584587,-0.961513622,-0.099859162,-0.904730347,-1.133655368,-1.221694444,-0.765757232,-0.890431846,-0.960016502,-0.545544725,-1.17401752,-1.141692744,-1.350858067,-0.420714653,-1.046695649,-0.706739479,-0.740546377,-0.64973671,0,-0.888868966,-1.237877877,-1.096594934,-0.827701599,-0.932116094,-1.278797473,-1.232552044,-1.094377935,0.780432363,-1.750551375,1.379496656,1.03344072,-1.148727965,-0.017682156,0.615587914,1.114652519,0.070925294,0.567659214,-0.858156923,-0.858156923
S. paradoxus,-0.804280089,-0.482549895,-1.24759801,-0.691727702,-0.569398623,-1.017926385,-1.155255194,1.183452671,-0.58408166,-0.816205992,-0.443896762,-0.648106263,-0.922531208,-1.408558935,-1.136771516,-0.388470431,-0.839060778,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,0.418853908,1.244033378,-0.316623792,-0.398409537,-0.600300225,-0.382991678,-1.022256368,-0.218217892,-0.438061246,-0.569398623,-0.509647192,0.577350269,0.107118949,-0.47338107,-0.633865691,-0.398409537,0.119522861,-0.316623792,0.569398623,1.126872338,-0.316623792,-0.569398623,-0.848057861,-1.230682494,-0.218217892,-0.952026842,-0.577350269,-0.218217892,-0.929268232,-1.100491066,-1.398994834,-0.47338107,-1.035470235,-0.370235493,-0.545544725,-0.765559002,-0.135988359,-0.845154254,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,0.506369683,-0.509647192,0.633865691,-1.184259454,-0.218217892,-1.145985507,-0.752272316,-0.430971121,-0.76705399,-1.133655368,-1.221694444,-0.714868302,-1.095916118,-1.163656366,-0.545544725,-1.17401752,-1.141692744,-1.350858067,-0.747937161,-0.806470418,-0.706739479,-0.740546377,-0.209592487,0,-0.888868966,-1.237877877,-1.014933609,-0.788729102,-1.082226815,-1.182887662,-1.232552044,-1.176414425,0.977891154,-1.442339802,1.271807535,0.953086296,-0.731917751,-0.017682156,-0.326401374,1.373905527,0.016913343,0.503900484,-0.8781385,-0.8781385
S. pastorianus,-0.804280089,-0.215877585,-1.24759801,-0.110676432,-0.569398623,-0.469812178,-1.155255194,-0.059172634,-0.58408166,-0.816205992,0.721332238,-0.280262168,0,-0.993113182,-1.136771516,0.167748594,-1.078792428,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,1.675415632,1.244033378,-0.316623792,-0.398409537,-0.600300225,-1.026417698,-1.022256368,-0.218217892,-0.438061246,-0.569398623,-0.509647192,0.577350269,0.107118949,-0.47338107,-0.633865691,-0.398409537,0.119522861,-0.316623792,0.569398623,1.126872338,-0.316623792,-0.569398623,-1.033570518,-1.230682494,-0.218217892,-1.108218746,-0.824786099,-0.218217892,-0.929268232,-1.100491066,-0.874371771,-0.47338107,-1.035470235,-1.018147605,-0.545544725,-0.765559002,-0.135988359,0.633865691,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,0.506369683,-0.509647192,2.112885637,-1.184259454,-0.218217892,-1.223119147,-0.543031009,-0.762083081,-0.76705399,-0.811942358,-1.221694444,-0.765757232,-0.890431846,-1.163656366,1.74574312,-0.923719369,-1.284404337,-1.080686454,-0.420714653,-0.926583033,-0.814286791,-0.740546377,-0.869808822,0,-0.888868966,-1.166657506,-1.096594934,-0.866674095,-1.112248959,-1.118947789,-1.068731836,-1.176414425,0.582973572,-0.58064371,1.212500483,0.693984262,-0.695673409,-1.572157464,-0.049619687,0.777424034,0.727303512,-0.523005387,-1.09695763,-1.09695763
Y. lipolytica,1.418072787,-0.215877585,1.202720383,3.375631189,-0.569398623,0.07830203,1.755987895,-1.301797939,1.971275604,1.010222171,3.051790237,1.191114213,2.30632802,2.164274544,0.818279496,2.392624694,0.719194952,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,2.390457217,1.20060045,1.868999391,1.072122532,-0.218217892,1.606224566,-0.569398623,-0.509647192,2.309401077,0.107118949,-0.47338107,2.324174199,-0.398409537,-0.717137166,3.007926036,-0.925272762,-0.845154255,-0.316623792,0.925272762,0.821556053,-0.550568484,-0.218217892,0.609892195,-0.08247861,-0.218217892,-1.652032412,0.909101316,1.224120479,-0.47338107,-0.666913033,1.897456899,-0.545544725,0.239237188,-1.563866137,0.633865691,-0.316623792,-0.218217892,-0.218217892,2.390457217,1.274117977,-0.218217892,-0.977922666,0.506369683,-0.509647192,0.633865691,0.828297075,4.364357808,0.97518959,2.38634728,-0.541341774,2.537178582,-0.168516339,1.343863888,0.252021367,2.808285051,0.872742276,-0.545544725,0.452920465,-0.142711593,0,0.724564125,0.154430506,0.691375577,3.003326975,1.771056518,0,0.519904489,0.186529543,0.454970238,1.86140068,0.944267914,0.991068041,0.241829832,1.261241271,0.582973572,0.680951217,0.753015604,0.288932347,-1.418428681,-0.688464027,0.599082273,-0.015101602,0.267321668,0.67255739,0.067766914,0.067766914
Z. parabailii,-0.359809513,-0.215877585,-0.116681828,1.051426108,0.925272762,0.07830203,-1.155255194,-1.301797939,-0.58408166,-0.535217044,0.332922571,0.087581927,0.922531208,0.50249153,-0.210694721,-0.388470431,-0.299664563,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,0.418853908,-0.765559002,-0.316623792,-0.398409537,0.300150112,0.582147351,1.072122532,-0.218217892,-0.438061246,-0.569398623,-0.509647192,-1.154700539,-1.017630019,-0.47338107,-0.633865691,2.390457217,0.956182888,-0.316623792,0.569398623,-0.845154255,-0.316623792,2.419944147,-0.477032547,0.809659535,-0.218217892,0.141316484,-0.08247861,4.364357808,1.239024308,-1.100491066,1.224120479,2.01186954,-0.666913033,0.277676619,-0.545544725,1.244033379,-0.135988359,-0.845154254,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.977922666,-1.012739367,-0.509647192,-0.845154254,0.684543037,-0.218217892,-0.220381828,-0.22916905,-0.099859162,0.609709582,-1.455368378,-0.122169444,-0.358645792,0.342473786,1.076382141,1.74574312,-0.047675838,0.142711593,0,-0.747937161,-0.446132571,-0.169002919,-0.164565861,-0.429664598,0,-0.184482238,0.044088801,0.128324939,-0.165169153,-0.226595707,0,-0.085810585,-0.051342565,0.188055991,0.696862917,-0.286789848,0.267613825,0.83672281,0.353495491,1.71677707,-0.167591843,-0.58438394,0.666062563,0.638859447,0.638859447
E. neolycopersici,-0.804280089,-0.749222206,-1.43608404,-0.691727702,-0.569398623,-1.017926385,-1.155255194,1.183452671,-0.58408166,-1.097194941,-0.443896762,-1.015950358,-0.922531208,-1.325469784,-1.136771516,-0.388470431,-1.678121555,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,0.418853908,1.244033378,-0.316623792,-0.398409537,-0.600300225,-1.669843718,-1.022256368,-0.218217892,-0.438061246,-0.569398623,-0.509647192,-1.154700539,0.107118949,-0.47338107,-0.633865691,-0.398409537,0.119522861,-0.316623792,-0.925272762,1.126872338,-0.316623792,-0.569398623,-1.033570518,-0.550568484,-0.218217892,-1.420602553,-1.072221928,-0.218217892,-1.652032412,-1.100491066,-1.398994834,-0.47338107,-1.035470235,-1.666059717,-0.545544725,-0.765559002,-0.135988359,-0.845154254,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,0.506369683,-0.509647192,0.633865691,-1.47176753,-0.218217892,-1.377386427,-1.170754929,-2.086530918,-1.593112132,-2.098794398,-1.343863888,-1.121979742,-1.095916118,-1.367296231,-0.545544725,-1.299166596,-1.141692744,-1.350858067,-1.238770923,-1.166808264,-1.244476039,-1.892507408,-0.869808822,-1.195228609,-1.241062329,-1.309098248,-1.341578908,-1.607151535,-1.577592193,-1.470617094,-1.560192461,-1.645194366,0.385514782,-4.439663755,0.721889895,0.980964359,1.373618359,0.538063651,0.17354969,1.083284343,-0.656077645,-1.580813367,-0.650710953,-0.650710953
