Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CtBP_PxDLS_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,D_homorep,N_homorep,P_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
N. delphensis,-0.389230087,-0.576599976,0.011056983,-0.886658628,-0.704907377,0.655825836,0.655825836,-0.064348946,-0.70065542,-0.51564829,-1.028991511,-1.443542759,-1.147761251,-0.057180212,0.730752025,-0.722890316,-0.547144461,-1.418606065,-0.398409537,-0.21821789,-0.21821789,-0.316623793,0.156941205,-0.21821789,-0.791559484,-0.316623793,1.413661459,0.364541309,-0.618292888,0.610193685,-0.21821789,-0.21821789,-0.042632393,0.770720961,1.745743122,0.441769206,0.071174828,-0.545544726,-0.700655419,-0.473381068,-1.104423014,-0.316623793,-0.837707817,-1.023532631,-0.473381068,-0.492531828,-0.131590339,1.281435713,-0.21821789,0.228765662,0.202726768,0.667827097,-0.13598836,-1.404262948,-0.473381068,1.075846475,-0.608455621,1.274117979,1.776853423,-0.13598836,1.318056987,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,1.413661459,-0.21821789,-0.234122387,-1.219279885,-0.577350269,-0.996023841,-0.365340907,-0.21821789,0.272072946,-0.878084843,-0.256971611,-0.748154969,-0.483797194,-0.10527599,-0.496813387,-0.246059983,-0.01231671,-0.509647191,0.824300913,0.524809724,1.290878568,-0.650091568,1.199250702,1.031770962,0.143499201,0.360562632,1.049958841,-0.554269161,0.894589161,1.004719639,-0.042968545,-0.18062152,0.237857953,0.573650948,-0.049983885,-0.33050026,0.393028957,0.240794273,-0.670281096,1.066353348,-0.30203041,-0.965264783,0.001829121,-0.887328236,-0.516787513,0.986292561,0.986292561
N. nivariensis,0.05259866,-0.576599976,0.475450247,-0.354663451,-0.704907377,0.163956459,0.655825836,1.286978904,0.280262168,-0.417206344,-0.685994341,0.24059046,0.098944935,0.543212009,1.117620744,-0.722890316,0.051294793,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,1.255529641,-0.21821789,-0.791559484,-0.316623793,-0.441769206,0.364541309,-0.373308914,1.192651294,-0.21821789,-0.21821789,-0.937912638,-0.700655419,-0.545544726,-1.413661459,0.071174828,-0.545544726,-0.700655419,2.01186954,-1.104423014,-0.316623793,1.675415633,-1.023532631,-0.473381068,0.656709103,0.328975848,0.554134362,-0.21821789,0.228765662,0.486544242,-0.500870323,-0.13598836,0.561705179,-0.473381068,0.686315855,-0.362733159,-0.509647191,2.624897102,-0.13598836,0.114613651,4.364357805,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.381024964,-0.577350269,0.398409536,-0.190973656,-0.21821789,0.442626136,-0.367893254,-0.139658484,-1.128265961,-0.600575828,-0.168441584,-0.431196525,0.012302999,-0.01231671,-0.509647191,0.708124274,0.524809724,0.601680688,-0.073249754,0.899438027,0.384989165,1.399117206,-0.372193683,1.049958841,-0.283579571,0.805554221,0.752035658,-0.143228484,-0.078106603,0.397698497,0.299862996,0.029022901,-0.488239021,0.390890529,-0.126129845,-0.831128578,0.749753438,-0.230730487,-0.767880495,-0.134800489,-0.495465231,-1.590833089,0.358210365,0.358210365
Nk. Castellii,0.05259866,0.180187492,0.243253615,0.177331725,-0.704907377,1.639564589,0.655825836,-0.064348946,-0.70065542,-0.220322451,0,-0.433062828,0.098944935,0.20013074,-0.687766611,-0.722890316,-0.846364088,-0.391339604,-0.398409537,-0.21821789,-0.21821789,3.007926037,-0.941647231,-0.21821789,0.870715432,3.007926037,1.413661459,-0.91135327,-0.618292888,-1.13717914,-0.21821789,-0.21821789,-0.042632393,-0.700655419,-0.545544726,-1.413661459,0.071174828,1.745743122,0.770720961,2.01186954,0.751007651,-0.316623793,0.418853908,0.93048421,-0.473381068,-1.641772759,0.328975848,-0.900468339,-0.21821789,0.228765662,-0.081090707,0.667827097,1.291889419,1.217027888,-0.473381068,0.296785234,-0.608455621,-0.509647191,0.080766065,2.719767198,-1.088829685,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,0.995020146,0.381024964,-0.577350269,-0.996023841,1.203964348,-0.21821789,0.570541028,-0.80520033,-0.608910992,0.012067016,-0.250239928,0.021055198,0.028121513,0.529028963,-0.01231671,-0.509647191,1.753714023,-0.186222806,0.371948062,2.234117504,1.798876054,0.384989165,-0.358748002,1.093318948,1.049958841,1.88193715,1.250728921,1.510087601,0.859370902,0.185503184,0.597499176,1.258120829,0.311189996,-0.33050026,1.098055919,0.706404086,-0.572373933,0.699182465,-1.23757816,-1.322174037,1.16288814,-1.589352956,-0.701642029,-2.042854018,-2.042854018
Nm. Castellii ncbi,-0.610144461,0.684712472,-0.453336281,-0.354663451,0.528680533,-1.311651672,0.655825836,-1.415676795,-0.210196626,-0.121880505,-1.028991511,0.24059046,-0.732192522,-0.74334275,-0.687766611,-0.563093509,-1.025895864,-0.391339604,2.390457219,-0.21821789,-0.21821789,-0.316623793,0.156941205,-0.21821789,0.870715432,-0.316623793,-0.441769206,0.364541309,-1.353244812,-0.554721532,4.364357805,-0.21821789,3.538488588,-0.700655419,-0.545544726,0.441769206,-1.423496558,-0.545544726,0.770720961,-0.473381068,0.751007651,-0.316623793,-0.837707817,-1.023532631,-0.473381068,-0.492531828,-0.822439618,0.554134362,-0.21821789,-1.064640196,-0.081090707,0.667827097,1.291889419,0.561705179,-0.473381068,0.686315855,-1.345623008,-0.509647191,0.928809744,-0.13598836,-1.088829685,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-1.46326492,-1.219279885,1.154700538,-0.996023841,-0.365340907,-0.21821789,-0.239586624,-0.586546792,-1.547416007,-0.748154969,-0.600575828,-0.547435149,0.093738375,-1.365632905,-0.529618505,-0.509647191,-1.150701945,1.413600386,1.290878568,0.88815327,0.149906338,-0.90857443,0.143499201,-0.860697894,-2.342215876,-0.012889981,-0.173830121,-0.132358276,-0.494138269,-0.693196106,-0.441464356,0.573650948,-0.738471595,0.142716022,-0.401494165,0.327486593,-0.378307949,0.597971973,1.871822883,-0.547922626,-0.392600778,-1.285260627,-0.270347315,1.042537325,1.042537325
S. arboricola,-0.831058835,-0.576599976,-1.149926178,-0.886658628,1.762268442,-0.819782295,-0.327912918,-0.064348946,-0.70065542,-1.007858022,-0.34299717,-0.433062828,-1.147761251,-1.086424019,-1.20359157,-0.882687123,-0.606988386,0.635926857,2.390457219,-0.21821789,-0.21821789,-0.316623793,1.255529641,-0.21821789,0.870715432,-0.316623793,-0.441769206,-0.91135327,-0.863276863,-1.13717914,-0.21821789,-0.21821789,-0.042632393,-0.700655419,-0.545544726,0.441769206,0.071174828,-0.545544726,-0.700655419,-0.473381068,-0.176707682,-0.316623793,0.418853908,0.93048421,-0.473381068,-0.492531828,-1.052722712,-0.173166988,-0.21821789,-0.695095665,-1.216360606,-1.085219032,-0.13598836,-0.748940239,-0.473381068,-1.261337246,-0.854178083,-0.509647191,-0.767277615,1.291889419,0.114613651,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,4.364357805,-0.234122387,0.381024964,-0.577350269,0.398409536,-1.411544409,-0.21821789,-1.348182359,-0.878084843,0.094967769,-1.001562297,-0.950911727,-1.115925495,-1.021748287,-0.848906941,-1.0469203,-0.509647191,-1.499231861,-0.008464673,-1.46591295,-0.650091568,-0.899438027,-1.231965328,-0.860995204,-0.616445788,-0.646128518,-1.095648341,-1.153214463,-1.269436191,-1.246087808,-1.205770692,-1.400507617,-1.479758696,-1.235085681,0.458193543,-1.279598806,1.511289705,-0.21221544,0.663107818,1.632120272,0.114706555,-0.678672066,1.06513532,0.203471735,-0.581199909,-0.581199909
S. eubayanus,-0.610144461,-0.324337487,-1.38212281,-0.354663451,-0.704907377,-0.327912918,-1.311651672,1.286978904,-0.210196626,-0.909416076,1.028991511,0.24059046,-0.316623793,-1.000653702,-1.20359157,1.034874559,-0.966051938,0.635926857,-0.398409537,-0.21821789,-0.21821789,-0.316623793,2.354118077,-0.21821789,2.532990348,-0.316623793,-0.441769206,-0.91135327,-1.108260837,-0.554721532,-0.21821789,-0.21821789,-0.042632393,-0.700655419,-0.545544726,0.441769206,0.071174828,-0.545544726,-0.700655419,-0.473381068,0.751007651,-0.316623793,0.418853908,0.93048421,-0.473381068,-0.492531828,-1.283005805,-0.173166988,-0.21821789,-1.434184727,-1.216360606,-1.085219032,-0.13598836,-0.09361753,-0.473381068,-1.261337246,-1.099900545,-0.509647191,-0.767277615,1.291889419,2.521500322,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.381024964,-0.577350269,1.792842914,-0.016606406,-0.21821789,-1.390820656,-0.440777767,-0.726224119,0.518881673,0.333653238,-0.863263119,-0.234345937,-0.676664953,0.763635982,3.057883149,0.940477552,-0.541739071,-1.236180324,-0.457810964,-0.599625351,-0.74687898,-0.860995204,-0.127941578,1.049958841,-0.824958751,0.44941446,-0.132358276,-0.343748361,-0.868935964,-0.081823133,-1.069076767,-0.625604757,-0.961455303,1.05206092,-1.101868512,-0.700002914,1.419524079,-1.063529069,0.958890934,-2.890426508,1.341541636,-0.723013724,-0.911700901,-0.911700901
S. kudriavzevii,-0.831058835,-0.828862466,-0.685532913,-0.354663451,-0.704907377,-0.819782295,-1.311651672,1.286978904,-0.70065542,-0.909416076,0.34299717,-0.096236184,-0.732192522,-0.829113067,-0.816722851,-1.202280736,-0.666832311,1.663193318,-0.398409537,-0.21821789,-0.21821789,-0.316623793,1.255529641,-0.21821789,0.870715432,-0.316623793,-0.441769206,-0.91135327,-1.108260837,-1.13717914,-0.21821789,-0.21821789,-0.042632393,-0.700655419,-0.545544726,0.441769206,0.071174828,-0.545544726,-0.700655419,-0.473381068,-0.176707682,-0.316623793,0.418853908,-1.023532631,-0.473381068,-0.492531828,-0.592156525,-0.900468339,-0.21821789,-0.879867931,-0.932543132,-1.085219032,-0.13598836,-0.748940239,-0.473381068,-1.261337246,-1.099900545,-0.509647191,-0.767277615,1.291889419,1.318056987,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.381024964,-0.577350269,0.398409536,-1.062809908,-0.21821789,-1.262905764,-1.023853868,-0.256971611,-0.874858633,-1.06769036,-0.989594307,-1.021748287,-0.762785947,-0.529618505,-0.509647191,-0.918348667,-0.897255336,-1.46591295,-0.842372173,-1.34915704,-1.070269879,-0.860995204,-1.104949999,-0.646128518,-1.095648341,-1.153214463,-1.395778181,-1.296217777,-1.191125704,-1.520388025,-1.479758696,-1.246372364,0.300454782,-1.058637485,1.205905359,-0.509433614,0.629194419,0.153329058,1.126348551,-0.808680814,0.948572427,0.320338444,-0.588872911,-0.588872911
S. paradoxus,-0.831058835,-0.324337487,-1.614319442,-0.886658628,-0.704907377,-0.819782295,-1.311651672,1.286978904,-0.70065542,-0.712532183,-0.34299717,-0.769889472,-1.147761251,-1.515275606,-1.461504049,-0.563093509,-1.025895864,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,0.156941205,-0.21821789,0.870715432,-0.316623793,-0.441769206,-0.91135327,-0.618292888,-1.13717914,-0.21821789,-0.21821789,-0.042632393,-0.700655419,-0.545544726,0.441769206,0.071174828,-0.545544726,-0.700655419,-0.473381068,-0.176707682,-0.316623793,0.418853908,0.93048421,-0.473381068,-0.492531828,-1.283005805,-0.900468339,-0.21821789,-1.249412462,-0.648725657,-1.085219032,-1.563866138,-1.404262948,-0.473381068,-1.261337246,-0.608455621,-0.509647191,-0.767277615,-0.13598836,0.114613651,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.381024964,-0.577350269,0.398409536,-1.237177159,-0.21821789,-1.433458954,-0.878084843,-0.608910992,-0.874858633,-1.06769036,-0.989594307,-0.693663975,-0.848906941,-0.788269402,-0.509647191,-1.266878583,-0.719497203,-1.46591295,-1.034652778,-1.049344365,-1.070269879,-1.112118805,-0.616445788,-0.646128518,-1.095648341,-1.331284343,-1.269436191,-1.296217777,-1.235060668,-1.480427889,-1.479758696,-1.325379151,0.773671064,-0.905850437,0.754057053,0.492366465,0.567904985,0.754852803,0.50998038,-0.544042376,0.380344553,0.607298751,-0.594079777,-0.594079777
S. pastorianus,-0.831058835,-0.324337487,-1.38212281,-0.354663451,-0.704907377,-0.327912918,-1.311651672,-0.064348946,-0.70065542,-1.007858022,0.685994341,-0.433062828,-0.316623793,-1.086424019,-1.33254781,0.235890525,-1.265271565,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,1.255529641,-0.21821789,0.870715432,-0.316623793,-0.441769206,-0.91135327,-1.108260837,-0.554721532,-0.21821789,-0.21821789,-0.042632393,-0.700655419,-0.545544726,0.441769206,0.071174828,-0.545544726,-0.700655419,-0.473381068,-0.176707682,-0.316623793,0.418853908,0.93048421,-0.473381068,-0.492531828,-1.513288898,-0.900468339,-0.21821789,-1.618956993,-1.216360606,-1.085219032,-1.563866138,-0.748940239,-0.473381068,-1.261337246,-1.099900545,-0.509647191,-0.767277615,-0.13598836,1.318056987,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.381024964,-0.577350269,1.792842914,-1.411544409,-0.21821789,-1.561373846,-0.659431305,-1.195476627,-0.748154969,-0.367018561,-1.115925495,-0.956131425,-0.848906941,-1.0469203,1.274117979,-0.221288835,-1.430529733,-1.236180324,-0.842372173,-1.199250702,-1.555356227,-0.860995204,-0.860697894,-0.646128518,-1.095648341,-0.886109642,-1.522120172,-1.346347747,-1.337575586,-1.240667074,-1.34286472,-1.2915191,-0.33050026,-0.036935181,0.373653062,-0.66503607,0.939526598,-1.063529069,0.50998038,-0.801006811,1.208443776,-0.481896347,-0.788481704,-0.788481704
Y. lipolytica,1.598999278,-0.072074997,1.636433408,3.369302784,-0.704907377,0.655825836,1.639564591,-1.415676795,1.751638549,1.748516475,3.086974533,0.914243748,2.17678858,2.258618355,1.117620744,2.632842627,1.248173301,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,-0.941647231,-0.21821789,-0.791559484,-0.316623793,1.413661459,1.640435888,2.076530831,1.192651294,-0.21821789,-0.21821789,0.852647852,-0.700655419,-0.545544726,2.29719987,0.071174828,-0.545544726,2.242097342,2.01186954,-1.104423014,3.007926037,-0.837707817,0.93048421,-0.473381068,0.656709103,1.250108221,-0.900468339,-0.21821789,1.15262699,-0.081090707,0.083478387,1.291889419,1.217027888,-0.473381068,-0.482276006,2.094491464,-0.509647191,0.080766065,-1.563866138,0.114613651,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,2.187864137,1.413661459,-0.21821789,-1.46326492,0.381024964,-0.577350269,0.398409536,1.203964348,4.364357805,1.423306978,2.037295662,0.212280896,2.419436635,0.917546404,1.852857426,0.553056412,2.768174806,1.02228688,-0.509647191,0.127241081,-0.897255336,0.371948062,0.695872665,0.449719013,0.546684614,2.905858813,2.314579474,1.049958841,0.79917879,-0.351900001,0.878377648,2.363269981,1.650002001,1.23686135,0.710544924,1.744598834,1.720103627,0.614170233,0.732359906,2.31763572,-1.817705665,-0.81710119,0.141139338,0.860799924,0.280768652,1.487781366,2.564921628,2.564921628
Z. parabailii,0.05259866,-0.324337487,-0.453336281,0.709326902,0.528680533,-0.327912918,-1.311651672,-1.415676795,-0.210196626,-0.121880505,0,0.577417104,0.514513664,0.285901057,-0.300897892,-0.403296702,-0.367612684,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,0.156941205,-0.21821789,-0.791559484,-0.316623793,-0.441769206,0.364541309,0.36164301,1.192651294,-0.21821789,-0.21821789,-0.937912638,-0.700655419,-0.545544726,-1.413661459,-1.423496558,-0.545544726,-0.700655419,2.01186954,1.678722983,-0.316623793,0.418853908,-1.023532631,-0.473381068,1.805950034,-0.822439618,1.281435713,-0.21821789,0.413537928,-0.364908182,1.252175807,-1.563866138,1.872350597,2.01186954,-0.482276006,0.128711766,-0.509647191,0.928809744,-0.13598836,-1.088829685,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-1.46326492,-1.219279885,-0.577350269,-0.996023841,0.855229847,-0.21821789,-0.282224922,0.069413821,-0.256971611,0.518881673,-1.06769036,0.21055198,-0.693663975,-0.159938989,1.539588674,1.274117979,-0.453642112,-0.541739071,-0.087517191,-1.226933383,-0.599625351,-0.74687898,0.143499201,0.604814738,1.049958841,-0.283579571,-0.619004822,0.246667696,-0.193358453,-0.385651355,-0.161743405,-0.110818933,-0.18542409,1.404626106,0.61735446,0.222143929,2.179516686,-0.047793425,-0.041528353,1.344942031,0.767197939,-1.59812597,0.394673,0.249366925,0.249366925
